Year,Month,Day,Site,total_butterly_count,Unique_butterflies
1979,7,15,RamseyCanyonAZ,2397,66
1980,7,13,RamseyCanyonAZ,2049,47
1980,7,15,SpringervilleAZ,868,62
1980,7,19,AtascosaHighlandsAZ,659,42
1981,7,19,RamseyCanyonAZ,1689,64
1982,6,20,AtascosaHighlandsAZ,1197,26
1982,6,24,RamseyCanyonAZ,990,42
1983,7,30,AtascosaHighlandsAZ,1553,68
1983,8,6,RamseyCanyonAZ,5857,95
1984,8,5,AtascosaHighlandsAZ,5008,80
1984,8,11,RamseyCanyonAZ,2966,74
1985,8,10,RamseyCanyonAZ,2019,80
1985,8,17,AtascosaHighlandsAZ,3931,68
1986,8,4,GuadalupeCanyonAZNM,399,65
1986,8,16,RamseyCanyonAZ,4394,81
1986,8,23,PatagoniaAZ,4447,77
1986,8,30,AtascosaHighlandsAZ,4263,69
1987,8,9,RamseyCanyonAZ,10472,69
1987,8,15,PatagoniaAZ,1430,71
1987,8,22,AtascosaHighlandsAZ,3196,64
1988,7,30,RamseyCanyonAZ,3506,61
1988,8,6,PatagoniaAZ,1836,75
1988,8,13,AtascosaHighlandsAZ,2782,74
1989,8,6,RamseyCanyonAZ,1148,79
1989,8,13,PatagoniaAZ,1728,88
1989,8,20,AtascosaHighlandsAZ,1946,78
1990,8,4,RamseyCanyonAZ,3090,89
1990,8,11,PatagoniaAZ,3066,80
1990,8,18,AtascosaHighlandsAZ,8431,93
1991,7,27,SabinoCanyonAZ,66,8
1991,7,30,RamseyCanyonAZ,3674,97
1991,8,6,PatagoniaAZ,3358,92
1991,8,10,AtascosaHighlandsAZ,963,67
1992,7,26,SabinoCanyonAZ,190,24
1992,8,2,RamseyCanyonAZ,2610,88
1992,8,9,PatagoniaAZ,4222,101
1992,8,16,AtascosaHighlandsAZ,4460,98
1993,7,30,SabinoCanyonAZ,333,36
1993,7,31,RamseyCanyonAZ,2829,98
1993,8,7,PatagoniaAZ,3209,97
1993,8,14,AtascosaHighlandsAZ,1635,74
1994,7,22,SabinoCanyonAZ,781,46
1994,7,30,RamseyCanyonAZ,1400,82
1994,8,6,PatagoniaAZ,2636,87
1994,8,13,AtascosaHighlandsAZ,3569,64
1995,7,29,SabinoCanyonAZ,1053,23
1995,8,6,RamseyCanyonAZ,4018,102
1995,8,13,PatagoniaAZ,5463,90
1995,8,20,AtascosaHighlandsAZ,2569,76
1996,7,27,SabinoCanyonAZ,118,16
1996,8,5,RamseyCanyonAZ,3207,95
1996,8,11,PatagoniaAZ,1753,76
1996,8,18,AtascosaHighlandsAZ,7958,68
1997,7,26,SabinoCanyonAZ,115,16
1997,8,2,RamseyCanyonAZ,4632,101
1997,8,9,PatagoniaAZ,4994,82
1997,8,16,AtascosaHighlandsAZ,5281,81
1998,7,7,SycamoreCreekAZ,481,16
1998,8,1,RamseyCanyonAZ,3099,90
1998,8,1,SabinoCanyonAZ,221,22
1998,8,8,PatagoniaAZ,5789,97
1998,8,15,AtascosaHighlandsAZ,4065,86
1999,7,23,SycamoreCreekAZ,195,14
1999,8,3,RamseyCanyonAZ,2746,86
1999,8,9,PatagoniaAZ,2573,87
1999,8,14,AtascosaHighlandsAZ,3688,79
1999,8,28,PortalAZ,5833,82
2000,7,22,SycamoreCreekAZ,58,5
2000,7,26,SabinoCanyonAZ,978,36
2000,7,29,PortalAZ,2087,76
2000,8,5,RamseyCanyonAZ,6975,89
2000,8,12,PatagoniaAZ,11315,85
2000,8,19,AtascosaHighlandsAZ,8694,74
2001,7,18,SabinoCanyonAZ,379,42
2001,7,28,PortalAZ,2025,86
2001,8,4,RamseyCanyonAZ,3836,101
2001,8,11,PatagoniaAZ,6139,99
2001,8,18,AtascosaHighlandsAZ,6059,80
2002,7,27,PortalAZ,138,31
2002,7,31,SabinoCanyonAZ,72,19
2002,8,3,RamseyCanyonAZ,488,52
2002,8,10,PatagoniaAZ,736,54
2003,7,26,PortalAZ,1006,56
2003,8,2,RamseyCanyonAZ,1320,68
2003,8,9,PatagoniaAZ,3283,79
2004,7,28,SycamoreCreekAZ,131,17
2004,7,31,RamseyCanyonAZ,2690,89
2004,8,7,PatagoniaAZ,3331,91
2004,8,14,PortalAZ,679,61
2005,7,31,RamseyCanyonAZ,2089,85
2005,8,6,PatagoniaAZ,2850,77
2005,8,13,PortalAZ,566,56
2006,7,29,RamseyCanyonAZ,760,64
2006,8,5,PatagoniaAZ,2174,70
2007,8,11,BoyceThompsonArboretum,321,31
2007,8,11,RamseyCanyonAZ,2189,88
2007,8,18,PatagoniaAZ,2423,86
2008,7,19,SabinoCanyonAZ,216,32
2008,8,2,RamseyCanyonAZ,1251,90
2008,8,9,PatagoniaAZ,3040,88
2009,7,18,SabinoCanyonAZ,519,49
2009,7,25,PortalAZ,862,61
2009,8,1,RamseyCanyonAZ,1978,94
2009,8,8,PatagoniaAZ,4653,89
2009,9,12,BoyceThompsonArboretum,144,30
2010,7,17,SabinoCanyonAZ,1806,59
2010,7,31,RamseyCanyonAZ,608,63
2010,8,7,PatagoniaAZ,5445,91
2010,9,11,BoyceThompsonArboretum,1081,55
2011,4,2,SabinoCanyonAZ,584,48
2011,7,16,SabinoCanyonAZ,795,40
2011,7,30,RamseyCanyonAZ,625,60
2011,7,31,SantaRitaMountains,588,36
2011,8,6,PatagoniaAZ,1715,71
2011,9,10,BoyceThompsonArboretum,514,42
2011,10,1,SantaRitaMountains,1401,57
2012,3,25,SabinoCanyonAZ,1079,63
2012,7,21,SabinoCanyonAZ,216,40
2012,7,28,PortalAZ,1033,52
2012,7,29,SantaRitaMountains,849,52
2012,8,4,RamseyCanyonAZ,2966,85
2012,8,11,PatagoniaAZ,4226,97
2012,9,15,BoyceThompsonArboretum,408,41
2012,9,30,SantaRitaMountains,3238,81
2013,4,7,SabinoCanyonAZ,1264,61
2013,7,20,SabinoCanyonAZ,434,39
2013,7,27,PortalAZ,445,45
2013,7,28,SantaRitaMountains,1071,56
2013,8,3,RamseyCanyonAZ,2684,85
2013,8,10,PatagoniaAZ,2653,80
2013,9,7,BoyceThompsonArboretum,343,37
2013,9,29,SantaRitaMountains,2604,56
2014,4,6,SabinoCanyonAZ,2453,58
2014,7,19,SabinoCanyonAZ,359,36
2014,7,26,PortalAZ,1193,56
2014,7,27,SantaRitaMountains,1067,58
2014,8,2,RamseyCanyonAZ,1078,74
2014,8,9,PatagoniaAZ,3141,75
2014,9,6,BoyceThompsonArboretum,634,35
2014,9,6,GrandCanyonSouthRim,141,18
2014,9,20,McDowellSonoranPreserve,247,32
2014,9,28,SantaRitaMountains,2256,59
2015,3,29,SabinoCanyonAZ,3421,67
2015,5,31,GrandCanyonDesertView,122,30
2015,6,14,GrandCanyonSouthRim,123,24
2015,7,5,GrandCanyonNorthRim,215,44
2015,7,18,SabinoCanyonAZ,262,42
2015,7,26,SantaRitaMountains,4878,84
2015,8,2,PortalAZ,484,43
2015,8,6,RamseyCanyonAZ,3153,95
2015,8,11,PatagoniaAZ,10072,97
2015,8,16,GrandCanyonSouthRim,228,22
2015,9,12,BoyceThompsonArboretum,521,40
2015,9,27,SantaRitaMountains,2072,66
2015,10,3,McDowellSonoranPreserve,51,21
2016,4,3,SabinoCanyonAZ,1693,61
2016,7,16,SabinoCanyonAZ,850,56
2016,7,23,PortalAZ,689,56
2016,7,31,SantaRitaMountains,1587,68
2016,8,1,RamseyCanyonAZ,627,77
2016,8,8,PatagoniaAZ,2911,88
2016,9,10,BoyceThompsonArboretum,1088,36
2016,9,17,McDowellSonoranPreserve,157,20
2016,10,2,SantaRitaMountains,3167,63
2017,3,26,SabinoCanyonAZ,2200,63
2017,4,8,McDowellSonoranPreserve,168,30
2017,7,15,SabinoCanyonAZ,695,42
2017,7,23,PortalAZ,515,60
2017,7,26,SantaRitaMountains,998,55
2017,8,1,RamseyCanyonAZ,1149,74
2017,8,7,PatagoniaAZ,1930,75
2017,9,4,Cottonwood,361,39
2017,9,9,BoyceThompsonArboretum,1199,42
2017,9,23,McDowellSonoranPreserve,65,13
2017,9,30,SantaRitaMountains,1943,62
2018,4,3,SabinoCanyonAZ,850,54
2018,4,7,McDowellSonoranPreserve,30,8
2018,7,27,PortalAZ,1007,64
2018,7,29,SantaRitaMountains,2994,71
2018,7,31,SabinoCanyonAZ,1098,63
2018,8,6,RamseyCanyonAZ,2141,98
2018,8,12,PatagoniaAZ,3719,88
2018,8,30,Cottonwood,104,20
2018,9,8,BoyceThompsonArboretum,1419,35
2018,9,29,McDowellSonoranPreserve,1568,26
2018,9,29,SantaRitaMountains,66755,64
2019,4,6,McDowellSonoranPreserve,583,34
2019,7,23,SabinoCanyonAZ,900,61
2019,7,25,GrandCanyonNorthRim,93,21
2019,7,25,PortalAZ,1006,63
2019,7,28,SantaRitaMountains,1100,69
2019,8,1,RamseyCanyonAZ,721,75
2019,8,6,PatagoniaAZ,2905,92
2019,8,29,Cottonwood,178,36
2019,9,7,BoyceThompsonArboretum,177,20
2019,9,28,McDowellSonoranPreserve,47,18
2019,9,28,SantaRitaMountains,1324,62
2020,4,3,SabinoCanyonAZ,2611,67
2020,4,4,McDowellSonoranPreserve,146,22
2020,7,28,RamseyCanyonAZ,1346,93
2020,7,29,SabinoCanyonAZ,248,34
2020,7,31,SantaRitaMountains,1803,76
2020,8,2,PortalAZ,1259,50
2020,8,26,Cottonwood,166,26
2020,9,12,BoyceThompsonArboretum,32,15
2020,9,26,McDowellSonoranPreserve,6,4
2020,10,4,SantaRitaMountains,882,49
2021,3,28,SabinoCanyonAZ,373,27
2021,4,3,McDowellSonoranPreserve,62,11
2021,7,26,SabinoCanyonAZ,730,43
2021,7,31,GrandCanyonNorthRim,292,26
2021,7,31,SantaRitaMountains,1496,42
2021,8,2,RamseyCanyonAZ,1075,66
2021,8,6,PortalAZ,431,43
2021,8,9,PatagoniaAZ,2654,54
2021,8,26,Cottonwood,616,34
2021,9,11,BoyceThompsonArboretum,4932,34
2021,9,25,McDowellSonoranPreserve,9607,40
2021,10,2,SantaRitaMountains,134915,77
