PRISM Time Series Data
Locations: 16
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1992-01-01 - 1992-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Sep-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-01,0.00,-1.8,5.5,12.7,-4.2,1.17,10.43
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-02,0.00,-0.8,7.0,14.7,-5.4,1.78,12.87
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-03,0.00,1.5,7.9,14.2,-5.7,2.90,12.71
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-04,1.53,6.7,8.7,10.8,1.4,2.11,6.70
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-05,2.88,5.3,8.3,11.2,4.4,1.11,4.61
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-06,6.54,7.0,9.4,11.9,5.5,1.51,4.83
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-07,8.45,-1.6,4.0,9.5,-0.6,0.52,5.37
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-08,0.09,-1.4,4.0,9.4,-3.4,0.90,7.65
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-09,0.00,-0.3,5.6,11.5,-2.7,1.23,8.62
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-10,0.71,2.1,8.2,14.3,-3.1,2.18,11.25
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-11,6.27,3.1,8.1,13.0,-2.2,1.95,10.27
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-12,9.91,0.7,4.3,7.9,1.0,0.40,4.11
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-13,0.00,-3.4,0.7,4.9,-6.3,1.14,4.95
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-14,0.00,-4.1,1.5,7.2,-7.7,1.27,6.65
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-15,0.00,-4.3,3.5,11.3,-6.8,1.15,9.90
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-16,0.00,-3.6,3.4,10.4,-9.6,1.51,9.68
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-17,0.00,-1.8,5.1,12.0,-10.1,2.53,11.21
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-18,0.00,-1.5,7.0,15.5,-6.1,2.06,13.56
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-19,0.00,0.2,5.6,11.1,-5.2,2.27,8.87
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-20,3.59,1.0,6.1,11.2,-3.2,1.98,8.31
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-21,5.01,0.8,5.6,10.4,0.2,0.88,6.60
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-22,0.00,-0.7,4.9,10.5,-1.4,0.72,6.91
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-23,0.00,-1.8,5.2,12.2,-4.9,1.23,10.08
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-24,0.00,-2.1,6.7,15.6,-9.1,1.99,15.08
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-25,0.00,-0.3,9.3,18.8,-8.2,2.76,18.68
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-26,0.00,-0.4,9.6,19.6,-6.4,2.34,19.26
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-27,0.00,2.5,10.4,18.4,-3.0,2.48,16.38
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-28,0.00,1.5,9.4,17.3,-4.2,2.09,15.24
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-29,0.00,3.6,11.3,19.0,-3.9,3.34,17.87
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-30,0.00,1.6,9.6,17.6,-4.7,2.54,16.24
AtascosaHigh,-111.1600,31.4800,1353.0,1992-01-31,0.00,2.6,9.9,17.2,-4.7,3.11,15.34
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-01,0.00,1.8,10.2,18.6,-3.8,2.40,16.62
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-02,0.68,4.2,10.6,17.1,0.4,1.70,13.56
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-03,1.76,4.7,8.2,11.7,2.9,1.30,6.42
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-04,0.00,4.0,9.0,14.0,2.1,1.10,8.00
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-05,0.00,1.5,8.6,15.6,0.9,0.76,11.10
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-06,3.42,2.3,9.9,17.5,0.3,1.35,13.57
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-07,7.12,5.5,11.7,17.8,1.5,1.43,14.27
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-08,1.78,6.0,9.8,13.7,5.6,0.40,6.56
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-09,0.00,2.8,8.6,14.5,4.7,0.15,8.17
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-10,1.26,2.2,9.3,16.4,3.2,0.16,11.47
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-11,1.92,5.1,9.0,12.9,5.0,0.45,6.60
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-12,5.08,4.6,9.6,14.6,5.4,0.50,7.53
AtascosaHigh,-111.1600,31.4800,1353.0,1992-02-13,12.25,4.2,10.2,16.2,4.8,0.30,10.50
