PRISM Time Series Data
Locations: 16
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2015-01-01 - 2015-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Sep-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-01,3.48,-2.4,5.0,12.3,-3.5,0.26,10.10
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-02,0.00,-5.5,0.3,6.2,-4.5,0.28,4.80
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-03,0.00,-6.7,-1.3,4.1,-6.0,0.33,4.14
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-04,0.00,-6.5,1.1,8.7,-7.1,0.59,7.61
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-05,0.00,-1.9,7.2,16.2,-6.0,1.60,14.70
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-06,0.00,0.8,10.1,19.4,-7.9,3.12,19.66
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-07,0.00,1.2,11.7,22.3,-10.0,3.57,24.76
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-08,0.67,4.9,13.3,21.7,-3.5,3.58,21.35
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-09,2.39,6.2,9.1,12.1,4.0,0.92,6.43
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-10,1.78,3.4,10.0,16.5,2.6,1.19,10.57
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-11,0.40,2.8,9.5,16.2,2.2,1.09,11.00
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-12,3.14,2.9,10.2,17.5,3.6,0.59,12.71
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-13,3.03,3.4,9.7,16.0,4.5,0.43,10.12
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-14,0.34,2.0,9.2,16.3,3.7,0.23,11.00
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-15,0.00,0.5,6.5,12.6,0.5,0.29,8.87
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-16,0.00,1.3,8.2,15.1,-3.7,1.63,12.45
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-17,0.00,1.1,9.7,18.3,-4.4,2.09,16.65
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-18,0.00,1.3,11.0,20.8,-4.2,2.25,20.97
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-19,0.00,3.4,12.9,22.5,-3.5,3.31,22.90
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-20,0.00,3.8,13.6,23.4,-3.4,3.34,24.65
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-21,0.00,3.5,13.1,22.6,-5.8,3.21,24.30
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-22,0.00,2.3,10.2,18.0,-3.2,1.89,16.46
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-23,0.00,-2.2,4.2,10.6,-8.9,1.14,10.60
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-24,0.00,-1.9,5.8,13.5,-11.6,2.10,13.27
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-25,0.00,1.0,9.3,17.6,-13.4,3.85,18.40
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-26,0.62,3.9,12.0,20.2,-9.3,4.94,21.10
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-27,2.93,7.8,12.6,17.3,1.2,2.17,13.95
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-28,0.00,6.2,13.7,21.3,4.9,1.18,16.18
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-29,0.00,5.4,13.7,22.1,3.3,1.11,20.34
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-30,24.25,8.4,13.8,19.1,5.5,0.88,14.94
AtascosaHigh,-111.1600,31.4800,1353.0,2015-01-31,23.34,8.6,10.0,11.3,7.8,0.31,2.34
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-01,2.10,5.5,8.6,11.8,5.7,0.18,4.42
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-02,1.48,3.5,9.4,15.2,4.2,0.23,8.56
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-03,0.00,2.9,11.6,20.3,2.3,0.90,17.53
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-04,0.00,3.4,12.6,21.8,0.3,1.36,20.66
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-05,0.00,3.9,13.1,22.4,-1.0,2.47,22.35
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-06,0.00,4.5,14.7,24.8,-2.5,3.17,27.71
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-07,0.00,6.0,15.8,25.7,-1.8,3.59,29.01
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-08,0.00,4.7,14.4,24.0,-3.4,3.26,26.28
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-09,0.00,4.7,14.9,25.2,-3.4,4.47,28.21
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-10,0.00,4.8,15.4,26.0,-1.5,3.07,29.74
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-11,0.00,4.5,14.6,24.8,-3.4,3.23,27.61
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-12,0.00,2.7,12.1,21.4,-3.2,2.39,21.39
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-13,0.00,4.7,11.3,17.8,-2.1,3.53,15.20
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-14,0.00,6.4,14.0,21.6,0.8,3.68,19.30
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-15,0.00,8.3,14.8,21.4,3.7,3.01,17.84
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-16,4.97,6.9,12.9,19.0,7.6,0.50,11.54
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-17,0.00,7.1,13.6,20.1,5.5,0.72,15.64
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-18,0.00,4.5,12.4,20.2,-0.7,1.52,18.59
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-19,0.00,4.1,13.4,22.7,-5.9,4.10,24.12
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-20,0.00,5.5,15.6,25.8,-6.4,4.99,30.07
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-21,0.00,6.2,12.4,18.7,-2.5,4.33,17.19
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-22,0.00,9.1,15.1,21.0,-0.3,5.01,19.79
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-23,0.00,9.0,14.7,20.3,0.6,3.96,19.15
AtascosaHigh,-111.1600,31.4800,1353.0,2015-02-24,0.00,5.0,12.0,19.0,2.0,1.38,15.87
