PRISM Time Series Data
Location:  Lat: 36.0244   Lon: -111.8554   Elev: 1353m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1997-01 - 2020-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-May-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1997-01,42.06,-1.1,4.0,9.1
1997-02,20.01,-1.2,5.7,12.6
1997-03,0.55,3.4,12.1,20.8
1997-04,41.74,5.3,12.7,20.0
1997-05,6.62,12.7,21.4,30.0
1997-06,17.10,15.6,24.1,32.7
1997-07,22.77,18.1,27.0,35.8
1997-08,54.99,17.8,25.5,33.2
1997-09,74.29,15.0,22.2,29.5
1997-10,20.66,6.9,14.7,22.5
1997-11,11.42,2.8,9.2,15.7
1997-12,17.81,-3.4,2.4,8.2
1998-01,12.10,-0.5,5.3,11.1
1998-02,39.43,-0.8,4.5,9.7
1998-03,45.12,1.5,8.9,16.3
1998-04,18.84,4.1,11.4,18.6
1998-05,16.03,9.9,17.8,25.8
1998-06,0.67,13.4,22.2,31.0
1998-07,44.08,19.6,28.1,36.5
1998-08,22.26,18.9,26.9,34.9
1998-09,74.14,14.3,21.7,29.0
1998-10,48.79,6.8,14.5,22.1
1998-11,17.12,1.5,8.2,15.0
1998-12,8.16,-2.8,3.9,10.5
1999-01,5.12,-0.4,6.3,13.1
1999-02,9.67,0.1,7.4,14.8
1999-03,3.24,3.7,12.2,20.7
1999-04,35.90,3.8,11.2,18.5
1999-05,21.08,10.2,18.3,26.5
1999-06,7.71,15.2,23.8,32.3
1999-07,86.92,18.9,25.9,33.0
1999-08,73.01,16.4,24.2,32.1
1999-09,20.88,12.9,20.8,28.6
1999-10,0.00,8.3,17.4,26.5
1999-11,0.00,3.2,11.6,20.0
1999-12,2.12,-3.0,4.1,11.3
2000-01,17.01,-0.2,6.1,12.3
2000-02,17.96,1.4,7.7,13.9
2000-03,39.61,1.8,9.0,16.2
2000-04,7.63,8.1,16.7,25.3
2000-05,0.08,13.3,22.1,30.9
2000-06,5.90,17.6,26.1,34.6
2000-07,10.43,20.0,28.1,36.3
2000-08,47.90,18.6,26.2,33.8
2000-09,6.68,14.5,23.0,31.5
2000-10,80.03,8.2,15.3,22.4
2000-11,9.47,-1.3,4.9,11.1
2000-12,6.33,-0.8,5.5,11.7
2001-01,37.61,-1.8,3.6,9.0
2001-02,20.17,-0.6,5.8,12.2
2001-03,34.23,2.9,10.2,17.4
2001-04,14.45,5.9,13.6,21.3
2001-05,4.92,13.1,21.9,30.6
2001-06,5.83,16.6,25.9,35.2
2001-07,41.62,18.8,26.8,34.9
2001-08,46.49,17.4,25.6,33.9
2001-09,4.69,14.8,23.9,33.1
2001-10,6.91,9.7,17.9,26.1
2001-11,9.25,3.1,10.1,17.0
2001-12,15.90,-3.6,2.4,8.4
2002-01,8.19,-2.6,3.7,10.1
2002-02,1.05,-1.9,6.0,14.0
2002-03,13.12,-0.3,8.3,16.9
2002-04,2.91,7.5,16.5,25.5
2002-05,0.00,9.9,19.4,28.8
2002-06,0.00,16.4,26.4,36.4
2002-07,27.74,20.5,28.9,37.3
2002-08,12.88,18.2,27.0,35.8
2002-09,47.60,13.7,21.8,29.8
2002-10,18.18,7.3,14.7,22.2
2002-11,7.76,1.7,8.7,15.7
2002-12,23.67,-3.3,2.9,9.1
2003-01,10.81,-0.0,7.0,14.1
2003-02,40.05,0.1,6.1,12.2
2003-03,31.37,2.0,9.4,16.7
2003-04,8.25,4.7,12.6,20.4
2003-05,3.36,11.3,20.0,28.8
2003-06,0.00,16.7,25.6,34.6
2003-07,10.38,21.3,29.9,38.4
2003-08,51.17,18.4,26.2,34.0
2003-09,1.73,14.7,23.4,32.0
2003-10,17.03,10.7,19.0,27.3
2003-11,32.03,1.5,7.4,13.4
2003-12,9.44,-1.8,4.2,10.3
2004-01,9.03,-2.0,3.9,9.9
2004-02,27.87,-2.6,3.4,9.4
2004-03,2.29,5.5,13.7,21.9
2004-04,32.96,7.0,14.3,21.6
2004-05,0.00,10.9,19.9,29.0
2004-06,3.19,15.8,25.2,34.5
2004-07,26.38,18.2,26.9,35.6
2004-08,53.43,16.7,25.1,33.5
2004-09,80.88,12.6,21.4,30.2
2004-10,73.92,7.6,14.3,21.1
2004-11,55.48,1.7,7.2,12.7
2004-12,34.57,-2.0,3.9,9.8
2005-01,69.92,1.1,6.1,11.1
2005-02,49.18,1.7,6.5,11.3
2005-03,26.18,2.2,9.0,15.8
2005-04,29.53,5.0,13.0,21.0
2005-05,9.39,10.6,19.4,28.3
2005-06,11.80,13.2,22.5,31.8
2005-07,16.49,20.0,28.9,37.8
2005-08,44.42,16.5,24.2,31.9
2005-09,4.32,12.7,21.7,30.7
2005-10,22.30,8.1,16.0,24.0
2005-11,0.52,2.3,9.7,17.2
2005-12,1.52,-3.0,4.4,11.8
2006-01,5.43,-1.6,5.0,11.6
2006-02,0.62,-1.8,6.5,14.9
2006-03,46.98,1.3,7.8,14.2
2006-04,11.20,6.0,14.6,23.1
2006-05,0.01,11.9,21.3,30.6
2006-06,10.49,16.6,26.3,36.0
2006-07,20.55,20.0,28.0,36.1
2006-08,46.04,16.6,24.6,32.6
2006-09,19.64,11.5,20.0,28.5
2006-10,47.42,6.9,14.3,21.7
2006-11,1.60,1.8,9.5,17.3
2006-12,8.47,-3.4,2.9,9.2
2007-01,9.57,-4.2,2.3,8.9
2007-02,10.38,-0.2,6.9,14.0
2007-03,18.80,3.3,11.3,19.3
2007-04,7.82,6.2,14.7,23.3
2007-05,20.22,11.6,20.2,28.8
2007-06,0.00,16.2,25.7,35.3
2007-07,28.62,21.0,29.1,37.2
2007-08,45.42,18.7,26.7,34.8
2007-09,20.92,14.9,23.2,31.5
2007-10,6.04,7.0,15.5,24.0
2007-11,0.92,3.5,11.5,19.4
2007-12,54.50,-3.5,2.2,7.9
2008-01,36.27,-3.7,1.8,7.3
2008-02,30.66,-1.6,5.0,11.6
2008-03,3.46,1.9,10.3,18.6
2008-04,0.00,4.9,13.8,22.7
2008-05,14.15,7.8,16.7,25.6
2008-06,6.10,14.8,24.7,34.7
2008-07,27.95,20.2,28.0,35.7
2008-08,49.57,18.9,26.8,34.7
2008-09,10.08,14.1,22.8,31.5
2008-10,5.15,8.1,16.2,24.4
2008-11,8.28,3.9,10.4,16.8
2008-12,44.52,-3.0,2.7,8.5
2009-01,13.71,-2.1,4.3,10.7
2009-02,18.85,-1.0,6.2,13.4
2009-03,1.40,2.1,10.2,18.4
2009-04,5.45,5.2,13.3,21.4
2009-05,32.70,12.9,21.6,30.3
2009-06,14.52,13.9,22.1,30.3
2009-07,11.37,19.8,28.3,36.8
2009-08,13.71,16.3,25.8,35.4
2009-09,11.34,14.3,22.9,31.5
2009-10,1.98,6.0,13.9,21.7
2009-11,1.05,2.6,10.3,18.0
2009-12,40.97,-4.7,1.1,6.9
2010-01,57.67,-2.4,2.7,7.8
2010-02,29.57,-1.5,4.8,11.1
2010-03,18.68,1.0,8.6,16.1
2010-04,7.91,4.6,12.6,20.6
2010-05,0.01,7.5,16.4,25.3
2010-06,4.60,14.9,24.5,34.1
2010-07,35.88,20.1,28.1,36.0
2010-08,24.86,17.6,25.2,32.9
2010-09,3.04,13.9,23.6,33.2
2010-10,52.38,8.6,15.5,22.3
2010-11,10.24,0.5,7.3,14.2
2010-12,24.16,0.9,6.1,11.4
2011-01,0.00,-3.6,3.1,9.8
2011-02,41.96,-3.3,3.8,10.8
2011-03,13.72,2.1,9.8,17.4
2011-04,17.47,5.2,13.7,22.2
2011-05,4.35,7.9,16.3,24.8
2011-06,0.00,13.9,23.7,33.4
2011-07,25.37,19.7,27.1,34.4
2011-08,22.92,20.3,27.9,35.4
2011-09,51.06,15.2,22.7,30.2
2011-10,18.72,8.4,15.9,23.4
2011-11,7.77,2.5,8.1,13.8
2011-12,23.10,-2.8,2.5,7.7
2012-01,3.29,-1.1,5.7,12.5
2012-02,5.25,0.2,6.0,11.8
2012-03,27.87,3.3,10.5,17.6
2012-04,5.04,7.6,15.4,23.2
2012-05,0.00,12.0,20.9,29.9
2012-06,0.00,19.5,27.6,35.7
2012-07,96.74,20.5,27.0,33.6
2012-08,97.88,19.2,26.0,32.7
2012-09,23.04,15.7,22.7,29.8
2012-10,8.77,8.5,16.8,25.2
2012-11,0.01,3.5,10.7,17.9
2012-12,24.80,-1.4,3.9,9.2
2013-01,31.16,-5.2,0.8,6.8
2013-02,5.46,-2.3,4.3,10.8
2013-03,0.84,3.4,11.5,19.6
2013-04,4.51,6.6,14.7,22.8
2013-05,0.23,10.8,19.4,27.9
2013-06,0.00,18.8,27.4,36.1
2013-07,63.34,20.1,27.4,34.7
2013-08,73.75,17.6,24.7,31.8
2013-09,84.59,13.7,20.9,28.1
2013-10,8.55,5.4,13.4,21.5
2013-11,34.84,3.0,9.1,15.1
2013-12,18.84,-3.4,2.3,8.1
2014-01,0.00,-0.4,6.6,13.7
