year,month,day,Site,Latitude,Longitude,Elevation,Precip,tmin,tmean,tmax,tdmean,vpdmin,vpdmax,total_butterfly_count,Unique_butterflies,tmean_previous30,tmax_previous30,tmin_previous30,PrecipSum_previous30,tmean_previous90,tmax_previous90,tmin_previous90,tmean_previous365,tmax_previous365,tmin_previous365,PrecipSum_previous90,PrecipSum_previous365,Previous30_above30,Previous90_above30,Previous365_above30,Previous30_above28,Previous90_above28,Previous365_above28,Wseason_precip,Wseason_tmean,Wseason_tmax,Wseason_tmin,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,recent_precip1,recent_precip2,PartyHours,Total_Parties,Total_Observers,TotalDistanceMi
1983,7,30,AtascosaHighlandsAZ,31.48,-111.16,1353,2.25,20,26.5,32.9,13.2,6.9,36.4,1553,68,25.563333333333333,38.7,15.6,100.6,22.825555555555557,38.7,4.8,16.156986301369862,38.7,-5.2,105.73,669.17,28,65,105,28,70,125,417.51,11.106858678955453,30.7,-5.2,24.654910394265233,13.6,38.7,402.23,417.51,417.51,26,4,NA,NA
1984,8,5,AtascosaHighlandsAZ,31.48,-111.16,1353,8.02,18.3,25.1,31.8,14.4,4.61,31.33,5008,80,24.05666666666667,33.2,16.5,232.78,23.993333333333332,35.7,11.4,16.895616438356164,36.1,-3.6,307.64,859.52,17,65,96,26,81,135,282,12.017566608400868,30.3,-3.6,23.36347670250896,13,34.6,504.06,307.64,282,41,5,NA,NA
1985,8,17,AtascosaHighlandsAZ,31.48,-111.16,1353,0,15.7,24.2,32.6,10.6,3.8,37.93,3931,68,23.726666666666667,34,12.8,120.39,24.24,39.4,8.2,15.984109589041095,39.4,-8.7,197.53,679.61,18,67,85,25,80,130,344.98,10.776048935703312,29.4,-8.7,23.426164874551972,7.9,37.9,299.17,197.53,344.98,22,3,NA,NA
1986,8,30,AtascosaHighlandsAZ,31.48,-111.16,1353,3.32,14.7,21.5,28.3,19.2,0,16.11,4263,69,24.91,37.9,14.7,168.6,24.657777777777778,37.9,12.4,16.81205479452055,37.9,-4.5,327.3,663.14,21,67,88,28,84,128,255.64,12.465500329163923,30,-4.5,23.09688172043011,5.9,37.9,335.14,327.3,255.64,35,5,NA,NA
1987,8,22,AtascosaHighlandsAZ,31.48,-111.16,1353,1.72,16.8,23.1,29.5,14.3,3,26.06,3196,64,23.973333333333333,36,13.1,199.38,23.612222222222226,37,5,15.905205479452055,37,-8.6,232.94,527.82,16,64,76,28,82,118,189.69,11.363879745446566,30.6,-8.6,22.971720430107528,8.8,36,370.85,232.94,189.69,35,4,NA,NA
1988,8,13,AtascosaHighlandsAZ,31.48,-111.16,1353,0,16,23.9,31.8,14.1,0.59,31.3,2782,74,24.12,35.3,15.4,167.75,23.95111111111111,38.9,5.4,16.272328767123287,38.9,-8.8,226.8,623.29,18,67,94,25,78,138,229.41,11.732856083478998,32.6,-8.8,23.411863799283154,8.1,35.3,338.76,226.8,229.41,33.5,4,NA,NA
1989,8,20,AtascosaHighlandsAZ,31.48,-111.16,1353,0,18.2,23.8,29.3,15.9,2.45,23.34,1946,78,24.743333333333332,34.5,16,102.04,25.24222222222222,39.9,9.4,17.305753424657535,39.9,-9.3,145.96,433.64,23,77,126,28,88,164,193.62,12.78411784068466,34.8,-9.3,24.6794623655914,8.9,39.4,159.3,145.96,193.62,56,7,NA,NA
1990,8,18,AtascosaHighlandsAZ,31.48,-111.16,1353,0,14.3,21.6,28.9,13.9,1.42,24.08,8431,93,22.753333333333337,33.1,14.1,111.58,24.04111111111111,41.2,8.7,16.510684931506848,41.2,-8.2,316.5,561.21,13,58,100,20,73,139,224.18,11.821948650427911,32.2,-8.2,22.75043010752688,10,37,410.36,316.5,224.18,50,6,NA,NA
1991,8,10,AtascosaHighlandsAZ,31.48,-111.16,1353,7.62,17.1,23.8,30.5,13.8,2.82,29.23,963,67,24.93,34.4,15.2,44.2,22.787777777777777,36.8,6.7,15.87013698630137,36.8,-9.8,81.4,520.74,28,61,79,29,81,125,293.42,11.399838709677418,29.4,-9.8,23.711075268817204,12.4,36.8,189.67,81.4,293.42,43.5,5,NA,NA
1992,8,16,AtascosaHighlandsAZ,31.48,-111.16,1353,0,18.4,26.5,34.6,12.6,7.26,40.84,4460,98,24.516666666666666,36.6,15.2,95.99,23.465555555555554,38.6,6.6,16.382191780821916,38.6,-4.9,173.64,578.87,19,60,110,28,76,145,308.33,11.755848297049631,32.7,-4.9,23.953584229390682,12.4,38.6,294.53999999999996,173.64,308.33,62,8,NA,NA
