NABAEnglishName,NABAScientificName,NABAFamily,Notes
Eversmann's Parnassian,Parnassius eversmanni,Papilionidae,
Clodius Parnassian,Parnassius clodius,Papilionidae,
Phoebus Parnassian,Parnassius phoebus,Papilionidae,
Rocky Mountain' Phoebus Parnassian,Parnassius phoebus smintheus,Papilionidae,
Sierra Nevada' Phoebus Parnassian,Parnassius phoebus behri,Papilionidae,
Pipevine Swallowtail,Battus philenor,Papilionidae,
Polydamas Swallowtail,Battus polydamas,Papilionidae,
Zebra Swallowtail,Eurytides marcellus,Papilionidae,
Dark-kite Swallowtail,Eurytides philolaus,Papilionidae,
Black Swallowtail,Papilio polyxenes,Papilionidae,
Ozark Swallowtail,Papilio joanae,Papilionidae,
Short-tailed Swallowtail,Papilio brevicauda,Papilionidae,
Old World Swallowtail,Papilio machaon,Papilionidae,
Baird's' Old World Swallowtail,Papilio machaon bairdii,Papilionidae,
Oregon' Old World Swallowtail,Papilio machaon oregonius,Papilionidae,
Anise Swallowtail,Papilio zelicaon,Papilionidae,
Indra Swallowtail,Papilio indra,Papilionidae,
Giant Swallowtail,Papilio cresphontes,Papilionidae,
Schaus' Swallowtail,Papilio aristodemus,Papilionidae,
Ornythion Swallowtail,Papilio ornythion,Papilionidae,
Eastern Tiger Swallowtail,Papilio glaucus,Papilionidae,
Canadian Tiger Swallowtail,Papilio canadensis,Papilionidae,
Western Tiger Swallowtail,Papilio rutulus,Papilionidae,
Two-tailed Swallowtail,Papilio multicaudata,Papilionidae,
Pale Swallowtail,Papilio eurymedon,Papilionidae,
Spicebush Swallowtail,Papilio troilus,Papilionidae,
Palamedes Swallowtail,Papilio palamedes,Papilionidae,
Ruby-spotted Swallowtail,Papilio anchisiades,Papilionidae,
Pine White,Neophasia menapia,Pieridae,
Chiricahua White,Neophasia terlootii,Pieridae,
Florida White,Appias drusilla,Pieridae,
Becker's White,Pontia beckerii,Pieridae,
Spring White,Pontia sisymbrii,Pieridae,
Checkered White,Pontia protodice,Pieridae,
Western White,Pontia occidentalis,Pieridae,
Mustard White,Pieris napi,Pieridae,
Veined' Mustard White,Pieris napi oleracea,Pieridae,
Margined' Mustard White,Pieris napi marginalis,Pieridae,
Cabbage White,Pieris rapae,Pieridae,
Great Southern White,Ascia monuste,Pieridae,
Giant White,Ganyra josephina,Pieridae,
Large Marble,Euchloe ausonides,Pieridae,
Northern Marble,Euchloe creusa,Pieridae,
Pearly Marble,Euchloe hyantis,Pieridae,
California' Pearly Marble,Euchloe hyantis hyantis,Pieridae,
Desert' Pearly Marble,Euchloe hyantis lotta,Pieridae,
Olympia Marble,Euchloe olympia,Pieridae,
