Year,Month,Day,Site,NABAEnglishName,ButterflyCount,Party_Hours,#Parties
1980,7,19,AtascosaHighlandsAZ,Desert Cloudywing,1,26,4
1980,7,19,AtascosaHighlandsAZ,California Sister,1,26,4
1980,7,19,AtascosaHighlandsAZ,Gulf Fritillary,3,26,4
1980,7,19,AtascosaHighlandsAZ,Bronze Roadside-Skipper,9,26,4
1980,7,19,AtascosaHighlandsAZ,Mormon Metalmark,2,26,4
1980,7,19,AtascosaHighlandsAZ,Hackberry Emperor,5,26,4
1980,7,19,AtascosaHighlandsAZ,Tawny Emperor,1,26,4
1980,7,19,AtascosaHighlandsAZ,Empress Leilia,37,26,4
1980,7,19,AtascosaHighlandsAZ,Pipevine Swallowtail,92,26,4
1980,7,19,AtascosaHighlandsAZ,Western Pygmy-Blue,3,26,4
1980,7,19,AtascosaHighlandsAZ,Arizona Metalmark,29,26,4
1980,7,19,AtascosaHighlandsAZ,Fatal Metalmark,1,26,4
1980,7,19,AtascosaHighlandsAZ,Common Streaky-Skipper,5,26,4
1980,7,19,AtascosaHighlandsAZ,Arizona Skipper,5,26,4
1980,7,19,AtascosaHighlandsAZ,Acacia Skipper,41,26,4
1980,7,19,AtascosaHighlandsAZ,Southern Dogface,5,26,4
1980,7,19,AtascosaHighlandsAZ,Orange Skipperling,20,26,4
1980,7,19,AtascosaHighlandsAZ,Queen,15,26,4
1980,7,19,AtascosaHighlandsAZ,Dymasia dymas chara,63,26,4
1980,7,19,AtascosaHighlandsAZ,Mournful Duskywing,1,26,4
1980,7,19,AtascosaHighlandsAZ,Mexican Yellow,29,26,4
1980,7,19,AtascosaHighlandsAZ,Sleepy Orange,10,26,4
1980,7,19,AtascosaHighlandsAZ,Eastern Tailed-Blue,15,26,4
1980,7,19,AtascosaHighlandsAZ,Ceraunus Blue,19,26,4
1980,7,19,AtascosaHighlandsAZ,Reakirt's Blue,1,26,4
1980,7,19,AtascosaHighlandsAZ,Marine Blue,93,26,4
1980,7,19,AtascosaHighlandsAZ,Viceroy,7,26,4
1980,7,19,AtascosaHighlandsAZ,Red-spotted Purple,10,26,4
1980,7,19,AtascosaHighlandsAZ,Red Satyr,6,26,4
1980,7,19,AtascosaHighlandsAZ,Leda Ministreak,2,26,4
1980,7,19,AtascosaHighlandsAZ,Dainty Sulphur,2,26,4
1980,7,19,AtascosaHighlandsAZ,Two-tailed Swallowtail,4,26,4
1980,7,19,AtascosaHighlandsAZ,Cloudless Sulphur,1,26,4
1980,7,19,AtascosaHighlandsAZ,Carus Skipper,2,26,4
1980,7,19,AtascosaHighlandsAZ,Common Checkered-Skipper,1,26,4
1980,7,19,AtascosaHighlandsAZ,Desert Checkered-Skipper,2,26,4
1980,7,19,AtascosaHighlandsAZ,Golden-headed Scallopwing,19,26,4
1980,7,19,AtascosaHighlandsAZ,Gray Hairstreak,3,26,4
1980,7,19,AtascosaHighlandsAZ,Arizona Powdered-Skipper,7,26,4
1980,7,19,AtascosaHighlandsAZ,Elada Checkerspot,85,26,4
1980,7,19,AtascosaHighlandsAZ,Northern Cloudywing,1,26,4
1980,7,19,AtascosaHighlandsAZ,American Lady,1,26,4
1982,6,20,AtascosaHighlandsAZ,Desert Cloudywing,1,19,2
1982,6,20,AtascosaHighlandsAZ,Palmer's Metalmark,9,19,2
1982,6,20,AtascosaHighlandsAZ,Hackberry Emperor,1,19,2
1982,6,20,AtascosaHighlandsAZ,Tawny Emperor,1,19,2
1982,6,20,AtascosaHighlandsAZ,Empress Leilia,7,19,2
1982,6,20,AtascosaHighlandsAZ,Great Purple Hairstreak,1,19,2
1982,6,20,AtascosaHighlandsAZ,Pipevine Swallowtail,40,19,2
1982,6,20,AtascosaHighlandsAZ,Acacia Skipper,42,19,2
1982,6,20,AtascosaHighlandsAZ,Southern Dogface,1,19,2
1982,6,20,AtascosaHighlandsAZ,Orange Skipperling,12,19,2
1982,6,20,AtascosaHighlandsAZ,Queen,26,19,2
1982,6,20,AtascosaHighlandsAZ,Mathew's Groundstreak,9,19,2
1982,6,20,AtascosaHighlandsAZ,Mournful Duskywing,1,19,2
1982,6,20,AtascosaHighlandsAZ,Mexican Yellow,26,19,2
1982,6,20,AtascosaHighlandsAZ,Sleepy Orange,10,19,2
1982,6,20,AtascosaHighlandsAZ,Ceraunus Blue,110,19,2
1982,6,20,AtascosaHighlandsAZ,Reakirt's Blue,1,19,2
1982,6,20,AtascosaHighlandsAZ,Marine Blue,647,19,2
1982,6,20,AtascosaHighlandsAZ,American Snout,12,19,2
1982,6,20,AtascosaHighlandsAZ,Viceroy,2,19,2
1982,6,20,AtascosaHighlandsAZ,Red Satyr,38,19,2
1982,6,20,AtascosaHighlandsAZ,Leda Ministreak,180,19,2
1982,6,20,AtascosaHighlandsAZ,Two-tailed Swallowtail,1,19,2
1982,6,20,AtascosaHighlandsAZ,Acmon Blue,2,19,2
1982,6,20,AtascosaHighlandsAZ,Gray Hairstreak,13,19,2
1982,6,20,AtascosaHighlandsAZ,Elada Checkerspot,3,19,2
1982,6,20,AtascosaHighlandsAZ,Painted Lady,1,19,2
1983,7,30,AtascosaHighlandsAZ,Desert Cloudywing,4,26,4
1983,7,30,AtascosaHighlandsAZ,California Sister,15,26,4
1983,7,30,AtascosaHighlandsAZ,Gulf Fritillary,10,26,4
1983,7,30,AtascosaHighlandsAZ,Bronze Roadside-Skipper,50,26,4
1983,7,30,AtascosaHighlandsAZ,Cassus Roadside-Skipper,2,26,4
1983,7,30,AtascosaHighlandsAZ,Dotted Roadside-Skipper,1,26,4
1983,7,30,AtascosaHighlandsAZ,Nysa Roadside-Skipper,22,26,4
1983,7,30,AtascosaHighlandsAZ,Mormon Metalmark,2,26,4
1983,7,30,AtascosaHighlandsAZ,Tawny Emperor,8,26,4
1983,7,30,AtascosaHighlandsAZ,Empress Leilia,32,26,4
1983,7,30,AtascosaHighlandsAZ,Moon-marked Skipper,5,26,4
1983,7,30,AtascosaHighlandsAZ,Golden Banded-Skipper,1,26,4
1983,7,30,AtascosaHighlandsAZ,Pipevine Swallowtail,55,26,4
1983,7,30,AtascosaHighlandsAZ,Arizona Metalmark,10,26,4
1983,7,30,AtascosaHighlandsAZ,Common Streaky-Skipper,22,26,4
1983,7,30,AtascosaHighlandsAZ,White-striped Longtail,1,26,4
1983,7,30,AtascosaHighlandsAZ,Bordered Patch,7,26,4
1983,7,30,AtascosaHighlandsAZ,Theona Checkerspot,19,26,4
1983,7,30,AtascosaHighlandsAZ,Arizona Skipper,46,26,4
1983,7,30,AtascosaHighlandsAZ,Valeriana Skipper,1,26,4
1983,7,30,AtascosaHighlandsAZ,Acacia Skipper,305,26,4
1983,7,30,AtascosaHighlandsAZ,Southern Dogface,14,26,4
1983,7,30,AtascosaHighlandsAZ,Orange Sulphur,1,26,4
1983,7,30,AtascosaHighlandsAZ,Orange Skipperling,11,26,4
1983,7,30,AtascosaHighlandsAZ,'Henshaw's' Nabokov's Satyr,1,26,4
1983,7,30,AtascosaHighlandsAZ,Queen,22,26,4
1983,7,30,AtascosaHighlandsAZ,Dymasia dymas chara,395,26,4
1983,7,30,AtascosaHighlandsAZ,Zela Metalmark,2,26,4
1983,7,30,AtascosaHighlandsAZ,Funereal Duskywing,1,26,4
1983,7,30,AtascosaHighlandsAZ,Mournful Duskywing,4,26,4
1983,7,30,AtascosaHighlandsAZ,Variegated Fritillary,1,26,4
1983,7,30,AtascosaHighlandsAZ,Mexican Yellow,19,26,4
1983,7,30,AtascosaHighlandsAZ,Sleepy Orange,17,26,4
1983,7,30,AtascosaHighlandsAZ,Eastern Tailed-Blue,1,26,4
1983,7,30,AtascosaHighlandsAZ,Ceraunus Blue,6,26,4
1983,7,30,AtascosaHighlandsAZ,Reakirt's Blue,9,26,4
1983,7,30,AtascosaHighlandsAZ,Pahaska Skipper,1,26,4
