Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,#Parties,PartyHours
1980,7,19,AtascosaHighlandsAZ,Acacia Skipper,Cogia_hippalus  ,41,4,26
1980,7,19,AtascosaHighlandsAZ,American Lady,Vanessa_virginiensis  ,1,4,26
1980,7,19,AtascosaHighlandsAZ,Arizona Metalmark,Calephelis_arizonensis  ,29,4,26
1980,7,19,AtascosaHighlandsAZ,Arizona Powdered-Skipper,Systasea_zampa  ,7,4,26
1980,7,19,AtascosaHighlandsAZ,Arizona Skipper,Codatractus_arizonensis  ,5,4,26
1980,7,19,AtascosaHighlandsAZ,Bronze Roadside-Skipper,Amblyscirtes_aenus  ,9,4,26
1980,7,19,AtascosaHighlandsAZ,California Sister,Adelpha_bredowii  ,1,4,26
1980,7,19,AtascosaHighlandsAZ,Carus Skipper,Polites_carus  ,2,4,26
1980,7,19,AtascosaHighlandsAZ,Ceraunus Blue,Hemiargus_ceraunus  ,19,4,26
1980,7,19,AtascosaHighlandsAZ,Cloudless Sulphur,Phoebis_sennae  ,1,4,26
1980,7,19,AtascosaHighlandsAZ,Common Checkered-Skipper,Pyrgus_communis  ,1,4,26
1980,7,19,AtascosaHighlandsAZ,Common Streaky-Skipper,Celotes_nessus  ,5,4,26
1980,7,19,AtascosaHighlandsAZ,Dainty Sulphur,Nathalis_iole  ,2,4,26
1980,7,19,AtascosaHighlandsAZ,Desert Checkered-Skipper,Pyrgus_philetas  ,2,4,26
1980,7,19,AtascosaHighlandsAZ,Desert Cloudywing,Achalarus_casica  ,1,4,26
1980,7,19,AtascosaHighlandsAZ,Eastern Tailed-Blue,Everes_comyntas  ,15,4,26
1980,7,19,AtascosaHighlandsAZ,Elada Checkerspot,Texola_elada  ,85,4,26
1980,7,19,AtascosaHighlandsAZ,Empress Leilia,Asterocampa_leilia  ,37,4,26
1980,7,19,AtascosaHighlandsAZ,Fatal Metalmark,Calephelis_nemesis  ,1,4,26
1980,7,19,AtascosaHighlandsAZ,Golden-headed Scallopwing,Staphylus_ceos  ,19,4,26
1980,7,19,AtascosaHighlandsAZ,Gray Hairstreak,Strymon_melinus  ,3,4,26
1980,7,19,AtascosaHighlandsAZ,Gulf Fritillary,Agraulis_vanillae  ,3,4,26
1980,7,19,AtascosaHighlandsAZ,Hackberry Emperor,Asterocampa_celtis  ,5,4,26
1980,7,19,AtascosaHighlandsAZ,Leda Ministreak,Ministrymon_leda  ,2,4,26
1980,7,19,AtascosaHighlandsAZ,Marine Blue,Leptotes_marina  ,93,4,26
1980,7,19,AtascosaHighlandsAZ,Mexican Yellow,Eurema_mexicana  ,29,4,26
1980,7,19,AtascosaHighlandsAZ,Mormon Metalmark,Apodemia_mormo  ,2,4,26
1980,7,19,AtascosaHighlandsAZ,Mournful Duskywing,Erynnis_tristis  ,1,4,26
