Year,Month,Day,Site,NABAEnglishName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2021,9,11,BoyceThompsonArboretum,American snout,2820,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Arizona giant skipper,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,California patch,11,7,10,3,6
2021,9,11,BoyceThompsonArboretum,California sister,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Ceraunus blue,4,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Checkered white,58,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Cloudless sulphur,541,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Common buckeye,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Common sootywing,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Common or white checkered skipper,4,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Dainty sulphur,454,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Elada checkerspot,14,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Empress leilia,357,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Eufala skipper,3,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Funereal duskywing,14,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Giant swallowtail,2,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Gray hairstreak,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Great purple hairstreak,2,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Marine blue,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Mexican yellow,14,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Mexican yellow,508,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Monarch,8,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Northern white-skipper,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Orange skipperling,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Orange sulphur,251,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Painted lady,97,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Palmer’s metalmark,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Pipevine swallowtail,55,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Queen,144,7,10,3,6
