Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2021,9,11,BoyceThompsonArboretum,American Snout,Libytheana_carinenta  ,2820,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Arizona Giant-Skipper,Agathymus_aryxna  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,California Patch,Chlosyne_californica  ,11,7,10,3,6
2021,9,11,BoyceThompsonArboretum,California Sister,Adelpha_bredowii  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Ceraunus Blue,Hemiargus_ceraunus  ,4,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Checkered White,Pontia_protodice  ,58,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Cloudless Sulphur,Phoebis_sennae  ,541,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Common Buckeye,Junonia_coenia  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Common Sootywing,Pholisora_catullus  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,"Unidentified Firetip, Skipper, Duskywing, Skipperling, or Giant Skipper",Hesperiidae_sp,4,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Dainty Sulphur,Nathalis_iole  ,454,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Elada Checkerspot,Texola_elada  ,14,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Empress Leilia,Asterocampa_leilia  ,357,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Eufala Skipper,Lerodea_eufala  ,3,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Funereal Duskywing,Erynnis_funeralis  ,14,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Giant Swallowtail,Papilio_cresphontes  ,2,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Gray Hairstreak,Strymon_melinus  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Great Purple Hairstreak,Atlides_halesus  ,2,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Marine Blue,Leptotes_marina  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Mexican Yellow,Eurema_mexicana  ,14,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Mexican Yellow,Eurema_mexicana  ,508,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Monarch,Danaus_plexippus ,8,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Northern White-Skipper,Heliopetes_ericetorum ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Orange Skipperling,Copaeodes_aurantiacus  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Orange Sulphur,Colias_eurytheme  ,251,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Painted Lady,Vanessa_cardui  ,97,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Palmer's Metalmark,Apodemia_palmeri  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Pipevine Swallowtail,Battus_philenor  ,55,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Queen,Danaus_gilippus ,144,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Reakirt's Blue,Hemiargus_isola  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Southern Dogface,Colias_cesonia  ,35,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Spring Azure,Celastrina_ladon  ,1,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Tailed Orange,Eurema_proterpia  ,15,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Tiny Checkerspot,Dymasia_dymas  ,5,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Variegated Fritillary,Euptoieta_claudia  ,9,7,10,3,6
2021,9,11,BoyceThompsonArboretum,Western Pygmy-Blue,Brephidium_exile  ,4,7,10,3,6
2021,8,26,Cottonwood,American Snout,Libytheana_carinenta  ,41,25,8,4,3
2021,8,26,Cottonwood,Atlantis Fritillary,Speyeria_atlantis  ,2,25,8,4,3
2021,8,26,Cottonwood,Black Swallowtail,Papilio_polyxenes  ,3,25,8,4,3
2021,8,26,Cottonwood,Cabbage White,Pieris_rapae  ,1,25,8,4,3
2021,8,26,Cottonwood,California Patch,Chlosyne_californica  ,1,25,8,4,3
2021,8,26,Cottonwood,Ceraunus Blue,Hemiargus_ceraunus  ,2,25,8,4,3
2021,8,26,Cottonwood,Checkered White,Pontia_protodice  ,23,25,8,4,3
2021,8,26,Cottonwood,Clouded Sulphur,Colias_philodice ,2,25,8,4,3
2021,8,26,Cottonwood,Cloudless Sulphur,Phoebis_sennae  ,41,25,8,4,3
2021,8,26,Cottonwood,Common Sootywing,Pholisora_catullus  ,1,25,8,4,3
2021,8,26,Cottonwood,"Unidentified Firetip, Skipper, Duskywing, Skipperling, or Giant Skipper",Hesperiidae_sp,4,25,8,4,3
2021,8,26,Cottonwood,Dainty Sulphur,Nathalis_iole  ,46,25,8,4,3
2021,8,26,Cottonwood,Elada Checkerspot,Texola_elada  ,1,25,8,4,3
2021,8,26,Cottonwood,Fiery Skipper,Hylephila_phyleus  ,39,25,8,4,3
2021,8,26,Cottonwood,Gray Hairstreak,Strymon_melinus  ,1,25,8,4,3
2021,8,26,Cottonwood,Gulf Fritillary,Agraulis_vanillae  ,4,25,8,4,3
2021,8,26,Cottonwood,Leda Ministreak,Ministrymon_leda  ,2,25,8,4,3
2021,8,26,Cottonwood,Marine Blue,Leptotes_marina  ,1,25,8,4,3
2021,8,26,Cottonwood,Monarch,Danaus_plexippus ,2,25,8,4,3
2021,8,26,Cottonwood,Orange Sulphur,Colias_eurytheme  ,47,25,8,4,3
2021,8,26,Cottonwood,Painted Lady,Vanessa_cardui  ,113,25,8,4,3
2021,8,26,Cottonwood,Palmer's Metalmark,Apodemia_palmeri  ,2,25,8,4,3
2021,8,26,Cottonwood,Pipevine Swallowtail,Battus_philenor  ,5,25,8,4,3
2021,8,26,Cottonwood,Queen,Danaus_gilippus ,48,25,8,4,3
2021,8,26,Cottonwood,Reakirt's Blue,Hemiargus_isola  ,1,25,8,4,3
2021,8,26,Cottonwood,Red Admiral,Vanessa_atalanta  ,1,25,8,4,3
2021,8,26,Cottonwood,Red-bordered Satyr,Gyrocheilus_patrobas  ,1,25,8,4,3
2021,8,26,Cottonwood,Sleepy Orange,Eurema_nicippe  ,110,25,8,4,3
2021,8,26,Cottonwood,Southern Dogface,Colias_cesonia  ,5,25,8,4,3
2021,8,26,Cottonwood,Spring Azure,Celastrina_ladon  ,2,25,8,4,3
2021,8,26,Cottonwood,Tropical Least Skipper,Ancyloxypha_arene  ,1,25,8,4,3
2021,8,26,Cottonwood,Two-tailed Swallowtail,Papilio_multicaudata  ,2,25,8,4,3
2021,8,26,Cottonwood,Variegated Fritillary,Euptoieta_claudia  ,50,25,8,4,3
2021,8,26,Cottonwood,Viceroy,Limenitis_archippus  ,5,25,8,4,3
2021,8,26,Cottonwood,Western Pygmy-Blue,Brephidium_exile  ,6,25,8,4,3
2021,7,31,Grand Canyon North Rim,Acmon Blue,Plebejus_acmon_,4,126,20,4,6
2021,7,31,Grand Canyon North Rim,Hesperis Atlantis Fritillary,Speyeria_atlantis_hesperis  ,15,126,20,4,6
2021,7,31,Grand Canyon North Rim,Baird's' Old World Swallowtail,Papilio_machaon_bairdii  ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Blue Copper,Lycaena_heteronea  ,79,126,20,4,6
2021,7,31,Grand Canyon North Rim,Boisduval's Blue,Plebejus_icarioides ,7,126,20,4,6
2021,7,31,Grand Canyon North Rim,California Sister,Adelpha_bredowii  ,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,"Unidentified Firetip, Skipper, Duskywing, Skipperling, or Giant Skipper",Hesperiidae_sp,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Dun Skipper,Euphyes_vestris  ,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Field Crescent,Phyciodes_campestris  ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Garita Skipperling,Oarisma_garita  ,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Great Basin Wood-Nymph,Cercyonis_sthenele ,9,126,20,4,6
2021,7,31,Grand Canyon North Rim,Greenish Blue,Plebejus_saepiolus  ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Marine Blue,Leptotes_marina  ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Monarch,Danaus_plexippus ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Mourning Cloak,Nymphalis_antiopa  ,4,126,20,4,6
2021,7,31,Grand Canyon North Rim,Northern Cloudywing,Thorybes_pylades  ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Orange Sulphur,Colias_eurytheme  ,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Painted Lady,Vanessa_cardui  ,4,126,20,4,6
2021,7,31,Grand Canyon North Rim,Pine White,Neophasia_menapia ,5,126,20,4,6
2021,7,31,Grand Canyon North Rim,Small Wood-Nymph,Cercyonis_oetus  ,104,126,20,4,6
2021,7,31,Grand Canyon North Rim,Spring Azure,Celastrina_ladon  ,3,126,20,4,6
2021,7,31,Grand Canyon North Rim,Tailed Copper,Lycaena_arota  ,18,126,20,4,6
2021,7,31,Grand Canyon North Rim,Two-tailed Swallowtail,Papilio_multicaudata  ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Weidemeyer's Admiral,Limenitis_weidemeyerii  ,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,West Coast Lady,Vanessa_annabella  ,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Western Tailed-Blue,Everes_amyntula  ,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Woodland Skipper,Ochlodes_sylvanoides  ,17,126,20,4,6
2021,4,3,McDowell Sonoran Preserve,California Patch,Chlosyne_californica  ,15,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Checkered White,Pontia_protodice  ,2,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Empress Leilia,Asterocampa_leilia  ,32,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Marine Blue,Leptotes_marina  ,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Orange Sulphur,Colias_eurytheme  ,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Queen,Danaus_gilippus ,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Reakirt's Blue,Hemiargus_isola  ,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Sara Orangetip,Anthocharis_sara,2,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Sleepy Orange,Eurema_nicippe  ,2,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Chalcedon Variable Checkerspot,Euphydryas_chalcedona_chalcedona  ,3,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Western Pygmy-Blue,Brephidium_exile  ,2,16.5,17,6,20
2021,9,25,McDowell Sonoran Preserve,American Lady,Vanessa_virginiensis  ,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,American Snout,Libytheana_carinenta  ,1378,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Arizona Powdered-Skipper,Systasea_zampa  ,24,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,California Patch,Chlosyne_californica  ,405,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Ceraunus Blue,Hemiargus_ceraunus  ,85,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Checkered White,Pontia_protodice  ,21,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Cloudless Sulphur,Phoebis_sennae  ,260,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Common Buckeye,Junonia_coenia  ,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,"Unidentified Firetip, Skipper, Duskywing, Skipperling, or Giant Skipper",Hesperiidae_sp,27,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Dainty Sulphur,Nathalis_iole  ,894,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Elada Checkerspot,Texola_elada  ,8,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Empress Leilia,Asterocampa_leilia  ,429,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Erichson's White-Skipper,Heliopetes_domicella  ,2,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Eufala Skipper,Lerodea_eufala  ,15,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Fatal Metalmark,Calephelis_nemesis  ,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Fiery Skipper,Hylephila_phyleus  ,19,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Funereal Duskywing,Erynnis_funeralis  ,65,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Gray Hairstreak,Strymon_melinus  ,74,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Great Purple Hairstreak,Atlides_halesus  ,34,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Leda Ministreak,Ministrymon_leda  ,3,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Marine Blue,Leptotes_marina  ,15,28.5,28,6,20
