site,lat,long,urb16_1mi,urb16_5mi,urb16_25mi,urb92_1mi,urb92_5mi,urb92_25mi,crop08_1mi,crop08_5mi,crop08_25mi,crop19_1mi,crop19_5mi,crop19_25mi,crop_1mi,crop_5mi,crop_25mi,urb_1mi,urb_5mi,urb_25mi,urb25PerYear,crop25PerYear
MinidokaNationalWildlifeRefugeID,42.6479,-113.3544,0,0.012619,0.025897,0,0.001841,0.005123,0.000998,0.324042,0.009127,0.002177,0.00868,0.338685,0.001179,-0.315362,0.329558,-0.005123,0.010778,0.020774,0.000865583,0.029959818
LakeBerryessaCA,38.52,-122.15,0,0.017611,0.081893,0,0.003186,0.040509,0.002358,0.270211,0.002996,0.000181,0.003017,0.307478,-0.002177,-0.267194,0.304482,-0.040509,0.014425,0.041384,0.001724333,0.027680182
QuailRidgeEcologicalReserveCA,38.5,-122.17,0.014422,0.018269,0.081688,0.004989,0.003432,0.041306,0.001179,0.249569,0.001598,0,0.003045,0.284721,-0.001179,-0.246524,0.283123,-0.026884,0.014837,0.040382,0.001682583,0.025738455
MountDiabloCA,37.9511,-121.8871,0,0.276287,0.232731,0.000544,0.204809,0.165525,0,0.221235,0.004506,0.000272,0.008849,0.235519,0.000272,-0.212386,0.231013,-0.165525,0.071478,0.067206,0.00280025,0.021001182
MountHarrisonID,42.2845,-113.6485,0,0.004456,0.02408,0,0.000605,0.005493,0.018957,0.272343,0.043659,0.001542,0.049643,0.274606,-0.017415,-0.2227,0.230947,-0.005493,0.003851,0.018587,0.000774458,0.020995182
BigChicoCreekEcologicalReserve,39.8445,-121.7021,0.042177,0.027748,0.040703,0.004535,0.020835,0.022788,0,0.211813,0.000127,0.000181,0.000859,0.224844,0.000181,-0.210954,0.224717,0.019389,0.006913,0.017915,0.000746458,0.020428818
MedicineLakeMT,48.68,-104.6,0.008798,0.010901,0.016281,0,0.000088,0.001087,0.077279,0.512367,0.378146,0.159093,0.483127,0.591608,0.081814,-0.02924,0.213462,0.007711,0.010813,0.015194,0.000633083,0.019405636
SublettMountainsID,42.3782,-112.9948,0,0.001848,0.014659,0,0,0.001527,0,0.18605,0.017262,0,0.029874,0.199312,0,-0.156176,0.18205,-0.001527,0.001848,0.013132,0.000547167,0.01655
HighLineCanalCO,39.7243,-104.8472,0.999909,0.882171,0.308827,0.833379,0.679671,0.18485,0.000363,0.223337,0.051315,0.000091,0.043789,0.225199,-0.000272,-0.179548,0.173884,0.815059,0.2025,0.123977,0.005165708,0.015807636
MagicMountainID,42.1889,-114.2854,0.033469,0.010402,0.014019,0,0.000021,0.001727,0,0.172738,0.000264,0.000726,0.000271,0.174081,0.000726,-0.172467,0.173817,0.031742,0.010381,0.012292,0.000512167,0.015801545
