species,mean,median,var,max,min
Achalarus casica,2.96808510638298,1.5,15.5581102722489,20,0
Adelpha bredowii,19.4517543859649,9,755.32563381367,250,0
Agraulis vanillae,28.49,6,2905.6983919598,347,0
Agriades glandon,18.8316831683168,11,636.92675237673,151,0
Amblyscirtes aenus,12.3154362416107,6,337.122800653002,108,0
Amblyscirtes cassus,7.03636363636364,2,273.870225187656,106,0
Amblyscirtes elissa,8.02739726027397,1,245.77701674277,73,0
Amblyscirtes eos,3.95412844036697,2,28.3034318722392,32,0
Amblyscirtes exoteria,8.05504587155963,4,160.774719673802,75,0
Amblyscirtes fimbriata,12.8545454545455,9,250.941414141414,79,0
Amblyscirtes nereus,3.04109589041096,2,16.6510654490107,26,0
Amblyscirtes nysa,9.87234042553191,8,88.1555708075955,48,0
Amblyscirtes oslari,1.875,0,14.9839743589744,22,0
Amblyscirtes texanae,1.79452054794521,0,9.02663622526636,16,0
Amblyscirtes tolteca,2.51515151515152,0,60.8825757575758,44,0
Amblyscirtes vialis,3.51515151515152,1,42.0997668997669,36,0
Anatrytone logan,1.41428571428571,1,5.81138716356108,15,0
Ancyloxypha arene,4.51515151515152,2,57.1325757575758,31,0
Anteos clorinde,0.909090909090909,0,6.33522727272727,14,0
Anthocharis lanceolata,4.66666666666667,1,68.4705882352941,28,0
Anthocharis sara,10.1710526315789,1,1075.52179954838,412,0
Apodemia mormo,9.888,2,529.326064516129,147,0
Apodemia nais,10.7450980392157,2.5,658.508639099204,201,0
Apodemia palmeri,23.3617021276596,1,6447.73873255548,575,0
Asterocampa celtis,7.1978021978022,3,129.596017242426,78,0
Asterocampa clyton,3.04255319148936,2,21.3960192175703,35,0
Asterocampa leilia,33.1149425287356,19,1306.73082063619,168,0
Atalopedes campestris,4.04385964912281,1,85.3460854780122,50,0
Atlides halesus,1.26829268292683,1,3.75529788084766,10,0
Atrytone arogos,13.0892857142857,1,702.482792207792,125,0
Atrytonopsis edwardsii,9.33333333333333,0,390.905660377359,104,0
Atrytonopsis lunus,4.63829787234043,3,38.1043239533288,46,0
Autochton cellus,18.381679389313,7,860.991661773341,160,0
Battus philenor,57.6341463414634,16,10830.4337221633,978,0
Boloria epithore,36.0310880829016,12,5218.70736183074,725,0
Boloria kriemhild,5.52380952380952,2,62.8619047619048,32,0
Boloria montinus,7.42857142857143,5,121.157142857143,51,0
Boloria selene,6.55294117647059,2,167.297759103641,96,0
Brephidium exile,60.4810810810811,6,84283.215088259,5000,0
Calephelis arizonensis,8.58510638297872,2,184.460420956303,71,0
Calephelis nemesis,7.68152866242038,2,200.962028417442,90,0
Calephelis wrighti,6.61538461538461,6,37.9230769230769,19,0
Callophrys augustinus,3.38152610441767,1,36.9627218551626,63,0
Callophrys dumetorum,5.53271028037383,4,47.4588256039499,39,0
Callophrys eryphon,3.51832460732984,1,41.2088729677597,40,0
Callophrys gryneus,32.6985294117647,3,26617.5477128198,2205,0
Callophrys sheridanii,3.12727272727273,1,26.0760942760943,22,0
Callophrys spinetorum,2.11363636363636,1,14.0007264425073,29,0
Carterocephalus palaemon,2.18421052631579,1,7.61379800853485,12,0
Celastrina ladon,40.7652777777778,8,10831.1506702983,1435,0
Celotes nessus,7.92553191489362,3,139.359986273164,73,0
