sp,rep..opler...length.oplerN..,rep..fourth...length.fourthN..,changeName,newNameForOpler
Neophasia terlooii,opler,no,yes,Neophasia terlootii
Abaeis nicippe,opler,no,yes,Eurema nicippe
Agathymus polingi,opler,no,yes,Piruna polingi
Aglais milberti,opler,no,yes,Nymphalis milberti
Anthanassa texana,opler,no,yes,Phyciodes texana
Apyrrothrix araxes,opler,no,yes,Pyrrhopyge araxes
Atrytonopsis edwardsi,opler,no,yes,Atrytonopsis edwardsii
Boloria chariclea,opler,no,yes,Boloria montinus
Brephidium exilis,opler,no,yes,Brephidium exile
Codatractus valeriana,opler,no,yes,Codatractus mysie
Copaeodes aurantiaca,opler,no,yes,Copaeodes aurantiacus
Cupido amyntula,opler,no,yes,Everes amyntula
Cupido comyntas,opler,no,yes,Everes comyntas
Echinargus isola,opler,no,yes,Hemiargus isola
Erebia pawlowskii,opler,no,yes,Erebia theano
Heliopyrgus domicella,opler,no,yes,Heliopetes domicella
NotAmblyscirtes simius,opler,no,yes,Notamblyscirtes simius
Oeneis bore,opler,no,yes,Oeneis taygete
Paramacera xicaque,opler,no,yes,Paramacera allyni
Phyciodes cocyta,opler,no,yes,Phyciodes selenis
Phyciodes pulchella,opler,no,yes,Phyciodes campestris
Pieris marginalis,opler,no,yes,Pieris napi
Piruna aea,opler,no,yes,Piruna cingo
Plebejus cassiope,opler,no,yes,Agriades cassiope
Plebejus glandon,opler,no,yes,Agriades glandon
Plebejus idas,opler,no,yes,Lycaeides idas
Plebejus melissa,opler,no,yes,Lycaeides melissa
Pyrisitia proterpia,opler,no,yes,Eurema proterpia
Satyrium fuliginosum,opler,no,yes,Satyrium fuliginosa
Thorybes mexicana,opler,no,yes,Thorybes mexicanus
Zerene cesonia,opler,no,yes,Colias cesonia
Zerene eurydice,opler,no,yes,Colias eurydice
