family,genus,species,lower,upper,unit
Hesperiidae (Skippers),Apyrrothrix,araxes,4.5,5.7,cm
Hesperiidae (Skippers),Phocides,pigmalion,4.8,7,cm
Hesperiidae (Skippers),Phocides,belus,NA,NA,NA
Hesperiidae (Skippers),Phocides,palemon,4.2,6.3,cm
Hesperiidae (Skippers),Phocides,urania,NA,NA,NA
Hesperiidae (Skippers),Proteides,mercurius,5.8,7,cm
Hesperiidae (Skippers),Epargyreus,zestos,4.5,6,cm
Hesperiidae (Skippers),Epargyreus,clarus,4.5,6.7,cm
Hesperiidae (Skippers),Epargyreus,spanna,NA,NA,NA
Hesperiidae (Skippers),Epargyreus,exadeus,4.9,6.2,cm
Hesperiidae (Skippers),Polygonus,leo,4.3,5.9,cm
Hesperiidae (Skippers),Polygonus,savigny,3.8,4.5,cm
Hesperiidae (Skippers),Chioides,albofasciatus,3.9,5.4,cm
Hesperiidae (Skippers),Chioides,catillus,NA,NA,NA
Hesperiidae (Skippers),Chioides,zilpa,3.9,5.9,cm
Hesperiidae (Skippers),Chioides,ixion,NA,NA,NA
Hesperiidae (Skippers),Aguna,asander,3.8,5.6,cm
Hesperiidae (Skippers),Aguna,claxon,3.8,4.5,cm
Hesperiidae (Skippers),Aguna,metophis,3.7,4.8,cm
Hesperiidae (Skippers),Typhedanus,undulatus,4.2,4.8,cm
Hesperiidae (Skippers),Typhedanus,ampyx,NA,NA,NA
Hesperiidae (Skippers),Polythrix,octomaculata,3.5,4.6,cm
Hesperiidae (Skippers),Polythrix,mexicanus,3.5,4.1,cm
Hesperiidae (Skippers),Polythrix,asine,NA,NA,NA
Hesperiidae (Skippers),Polythrix,caunus,NA,NA,NA
Hesperiidae (Skippers),Zestusa,dorus,3.5,4.2,cm
Hesperiidae (Skippers),Codatractus,carlos,NA,NA,NA
Hesperiidae (Skippers),Codatractus,alcaeus,4.2,5.7,cm
Hesperiidae (Skippers),Codatractus,yucatanus,NA,NA,NA
Hesperiidae (Skippers),Codatractus,arizonensis,4.5,5.1,cm
Hesperiidae (Skippers),Codatractus,valeriana,NA,NA,NA
Hesperiidae (Skippers),Urbanus,proteus,4.5,6,cm
Hesperiidae (Skippers),Urbanus,viterboana,NA,NA,NA
Hesperiidae (Skippers),Urbanus,belli,NA,NA,NA
Hesperiidae (Skippers),Urbanus,pronus,3.4,4.4,cm
Hesperiidae (Skippers),Urbanus,esmeraldus,3.5,4.2,cm
Hesperiidae (Skippers),Urbanus,evona,NA,NA,NA
Hesperiidae (Skippers),Urbanus,dorantes,3.7,5.1,cm
Hesperiidae (Skippers),Urbanus,teleus,3.5,3.9,cm
Hesperiidae (Skippers),Urbanus,tanna,3.3,3.8,cm
Hesperiidae (Skippers),Urbanus,simplicius,3.8,5,cm
Hesperiidae (Skippers),Urbanus,procne,3.7,4.8,cm
Hesperiidae (Skippers),Urbanus,doryssus,3,4.8,cm
Hesperiidae (Skippers),Urbanus,albimargo,NA,NA,NA
Hesperiidae (Skippers),Astraptes,fulgerator,4.8,6.1,cm
Hesperiidae (Skippers),Astraptes,egregius,3.8,4.5,cm
Hesperiidae (Skippers),Astraptes,alardus,5.1,6.4,cm
Hesperiidae (Skippers),Astraptes,habana,NA,NA,NA
Hesperiidae (Skippers),Astraptes,alector,5.1,6.4,cm
Hesperiidae (Skippers),Astraptes,anaphus,5.1,6.4,cm
Hesperiidae (Skippers),Autochton,cellus,3.5,5.1,cm
Hesperiidae (Skippers),Autochton,pseudocellus,3.8,4.3,cm
Hesperiidae (Skippers),Autochton,cincta,NA,NA,NA
Hesperiidae (Skippers),Autochton,vectilucis,NA,NA,NA
Hesperiidae (Skippers),Autochton,neis,NA,NA,NA
Hesperiidae (Skippers),Autochton,longipennis,NA,NA,NA
Hesperiidae (Skippers),Achalarus,lyciades,4.5,4.9,cm
Hesperiidae (Skippers),Achalarus,casica,3.8,5.1,cm
Hesperiidae (Skippers),Achalarus,tehuacana,NA,NA,NA
Hesperiidae (Skippers),Achalarus,albociliatus,NA,NA,NA
Hesperiidae (Skippers),Achalarus,toxeus,4.2,5,cm
Hesperiidae (Skippers),Thessia,jalapus,4.2,5,cm
Hesperiidae (Skippers),Thorybes,drusius,3.8,4.5,cm
Hesperiidae (Skippers),Thorybes,pylades,3.2,4.7,cm
Hesperiidae (Skippers),Thorybes,bathyllus,3.3,5,cm
Hesperiidae (Skippers),Thorybes,confusis,3.8,4.8,cm
Hesperiidae (Skippers),Thorybes,diversus,3.2,3.8,cm
Hesperiidae (Skippers),Thorybes,mexicana,2.9,3.5,cm
Hesperiidae (Skippers),Cabares,potrillo,2.9,4.3,cm
