year,month,day,Site,Latitude,Longitude,Elevation,Precip,tmin,tmean,tmax,tdmean,vpdmin,vpdmax,total_butterfly_count,Unique_butterflies,tmean_previous30,tmax_previous30,tmin_previous30,PrecipSum_previous30,tmean_previous90,tmax_previous90,tmin_previous90,tmean_previous365,tmax_previous365,tmin_previous365,PrecipSum_previous90,PrecipSum_previous365,Previous30_above30,Previous90_above30,Previous365_above30,Previous30_above28,Previous90_above28,Previous365_above28,Wseason_precip,Wseason_tmean,Wseason_tmax,Wseason_tmin,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,recent_precip1,recent_precip2,PartyHours,Total_Parties,Total_Observers,TotalDistanceMi
2015,5,31,GrandCanyonDesertView,36.0244,-111.8554,1832,0,12.5,20.9,29.3,-0.2,7.68,36.12,122,30,12.88,29.3,-0,23.150000000000013,11.132222222222223,29.3,-7.2,13.025753424657536,35.6,-11.3,43.26,367.27,0,0,60,1,1,88,170.61,7.786389071757736,24.8,-11.3,21.86899641577061,9.4,36.8,176.21,170.61,170.61,6,1,NA,NA
2015,6,14,GrandCanyonSouthRim,35.989,-112.1221,2061,0,7.8,16.6,25.3,6.6,1.14,23.83,123,24,12.723333333333333,28.8,-1.2,69.07000000000001,9.472222222222223,28.8,-10.1,9.81780821917808,33.9,-16.6,102.56999999999998,454.54,0,0,20,2,2,55,176.19,5.044956111476849,24.1,-16.6,18.521290322580644,4.4,33.4,162.55,176.19,176.19,6,1,NA,NA
2017,4,8,McDowellSonoranPreserve,33.7041,-111.7791,755,0,16.1,22.3,28.4,-4,13.25,34.22,168,30,19.726666666666667,31.7,9,2.9500000000000144,15.092222222222222,31.7,2,22.04082191780822,44.8,2,119.62999999999997,328.84999999999997,5,5,160,13,13,188,238.72000000000003,17.17917160412552,33.8,2,30.451039426523295,14.5,43.1,58.19,238.72000000000003,238.72000000000003,19,5,29,13
2018,4,7,McDowellSonoranPreserve,33.7041,-111.7791,755,0,19.5,24.3,29.2,-1.6,16.44,35.3,30,8,18.293333333333337,29.6,7.8,3.6300000000000128,15.25222222222222,29.6,1.9,22.813424657534245,44.5,1.1,35.11999999999997,105.95,0,0,163,6,6,196,43.4,18.109914417379855,34.4,1.1,31.316594982078858,21.2,42.8,124.14,43.4,43.4,13.5,5,24,12.84
2019,4,6,McDowellSonoranPreserve,33.7041,-111.7791,755,0,11.5,17.9,24.2,1.1,7.88,24.37,583,34,15.976666666666668,27,4.3,31.790000000000013,12.986666666666666,27,0.4,21.455068493150684,42.8,-1.5,140.48999999999998,497.78,0,0,158,0,0,168,368.46,15.17866030283081,34.2,-1.5,31.44641577060932,18.3,42.3,98.52,368.46,368.46,16,5,30,16
2020,4,4,McDowellSonoranPreserve,33.7041,-111.7791,755,0,12.1,18.5,24.9,0.8,6.98,25.11,146,22,15.17,25.6,5.5,81.63000000000001,13.35,25.6,0.3,21.29342465753425,42.3,0.3,153.35999999999996,403.64,0,0,141,0,0,161,288.94000000000005,15.733246994014513,36.5,0.3,32.66172043010753,18,44.2,21.97,288.94000000000005,288.94000000000005,16.5,5,16,16
2021,4,3,McDowellSonoranPreserve,33.7041,-111.7791,755,0,19.1,24.8,30.4,-1.8,14.68,38.38,62,11,15.973333333333333,30.7,3.3,9.960000000000017,14.334444444444443,30.7,1.4,22.91835616438356,44.2,1.4,50.92999999999996,93.339999999999975,2,2,185,3,3,199,69.25999999999999,17.375627605881064,37.9,1.4,30.09559139784946,18.7,41.8,283.24,69.25999999999999,69.25999999999999,16.5,6,17,20
2011,4,2,SabinoCanyonAZ,32.3656,-110.7774,1484,0,13.5,22.4,31.4,-8.7,11.41,43.71,584,48,14.503333333333332,31.4,1.7,14.770000000000026,10.262222222222222,31.4,-12.6,17.250958904109588,37.8,-12.6,50.12999999999998,469.85,1,1,113,2,2,143,220.63,12.371765415843758,34.1,-12.6,25.908566308243728,14.1,38.1,224.5,220.63,220.63,38,8,NA,NA
2012,3,25,SabinoCanyonAZ,32.3656,-110.7774,1484,0,7.6,16.8,26,-8.6,6.24,31.71,1079,63,10.596666666666666,26,-3.4,27.290000000000024,9.884444444444444,26,-3.4,17.223013698630137,40,-6.2,47.309999999999974,465.17,0,0,122,0,0,156,257.88,12.081953493299434,33.8,-6.2,25.137240143369176,13.5,38.2,244.17,257.88,257.88,46.5,8,NA,NA
2013,4,7,SabinoCanyonAZ,32.3656,-110.7774,1484,0,10.6,17.9,25.3,-2.7,7.45,27.94,1264,61,15.009999999999998,28.1,0.6,10.120000000000026,10.156666666666666,28.1,-9.7,17.74876712328767,38.2,-9.7,61.67999999999998,453.94,0,0,122,1,1,158,198.73,12.396251920122888,31.8,-9.7,25.120179211469537,9.7,38.2,258.15,198.73,198.73,45.5,7,NA,NA
2014,4,6,SabinoCanyonAZ,32.3656,-110.7774,1484,0,4.5,11,17.6,-8.4,5.03,17.21,2453,58,13.183333333333332,24.8,1.9,2.423061751244404e-14,12.015555555555556,26.6,-2,17.853150684931506,38.2,-4,37.42999999999998,412.43,0,0,109,0,0,140,137.51,12.918891814790433,29.7,-4,24.794444444444444,12.4,37.1,333.51,137.51,137.51,50,8,27,32
2015,3,29,SabinoCanyonAZ,32.3656,-110.7774,1484,0,10.1,18.8,27.5,-8.3,8.6,34.34,3421,67,13.503333333333332,27.8,0.9,27.020000000000028,11.473333333333333,27.8,-5.5,17.88164383561644,37.1,-5.5,168.07999999999998,738.51,0,0,104,0,0,135,421.29,13.253603247750712,30.8,-5.5,25.01458781362007,15.4,37.4,550.62,421.29,421.29,64.5,9,24,43
2016,4,3,SabinoCanyonAZ,32.3656,-110.7774,1484,0,5.7,12.9,20.2,-6.3,4.71,20.04,1693,61,13.33,27,0.4,2.460000000000042,11.338888888888889,27,-5.6,17.162739726027397,38,-7.9,75.69999999999997,944.54,0,0,103,0,0,129,362.11,12.31660416335611,33.6,-7.9,24.635734767025088,10.6,36.6,219.55,362.11,362.11,56.5,10,27,27
2017,3,26,SabinoCanyonAZ,32.3656,-110.7774,1484,0,4.2,13,21.8,-4.7,3.96,22.71,2200,63,14.593333333333332,28.9,-1.5,1.790000000000047,11.19111111111111,28.9,-4.2,17.803835616438356,39.9,-4.2,186.76,586.37,0,0,94,3,3,142,265.07,13.623598858898395,31.4,-4.2,25.098387096774193,9.5,38.2,314.03000000000003,265.07,265.07,58,10,27,32
2018,4,3,SabinoCanyonAZ,32.3656,-110.7774,1484,0,8.7,16.7,24.7,-10.9,8.57,28.86,850,54,13.373333333333331,26.9,1.3,5.510000000000047,11.415555555555557,26.9,-3.5,18.633150684931504,40.8,-4.1,150.86,480.77,0,0,129,0,0,162,161,14.440797673908271,32.5,-4.1,25.790716845878137,15.2,38.8,213.57,161,161,51.5,9,21,33
2020,4,3,SabinoCanyonAZ,32.3656,-110.7774,1484,0,8,15.5,23,-2.9,5.39,23.46,2611,67,11.839999999999998,24.1,-0.8,35.410000000000046,9.974444444444446,24.1,-6.5,17.059178082191778,37.7,-6.5,113,467.13,0,0,111,0,0,132,272.38,12.072971555696803,33.6,-6.5,27.32978494623656,10.9,39.5,69.09,272.38,272.38,62,11,16,53
2021,3,28,SabinoCanyonAZ,32.3656,-110.7774,1484,0,2.6,9.4,16,-4.6,2.46,15.01,373,27,9.586666666666666,24.3,-2.2,24.570000000000046,9.106666666666667,24.3,-4.8,18.270410958904108,39.5,-4.8,56.929999999999986,159.58,0,0,152,0,0,175,88.09,12.877880184331795,35,-4.8,24.508028673835128,12.1,36.6,408.88,88.09,88.09,49,12,24,39
