year,month,site,latitude,longitude,precip,tmean,tmin,tmax
1997,1,AtascosaHighlandsAZ,31.48,-111.16,39.78,7.7,1.1,14.3
1997,2,AtascosaHighlandsAZ,31.48,-111.16,36.43,9.3,0.8,17.8
1997,3,AtascosaHighlandsAZ,31.48,-111.16,14.55,14.3,5.5,23
1997,4,AtascosaHighlandsAZ,31.48,-111.16,19.57,14.5,6.7,22.4
1997,5,AtascosaHighlandsAZ,31.48,-111.16,11.4,21.9,13.4,30.4
1997,6,AtascosaHighlandsAZ,31.48,-111.16,0,24.1,15.1,33
1997,7,AtascosaHighlandsAZ,31.48,-111.16,44.86,26.5,18.5,34.4
1997,8,AtascosaHighlandsAZ,31.48,-111.16,145.93,25.1,18.6,31.6
1997,9,AtascosaHighlandsAZ,31.48,-111.16,76.65,24.1,17.4,30.9
1997,10,AtascosaHighlandsAZ,31.48,-111.16,7.81,17,8.7,25.4
1997,11,AtascosaHighlandsAZ,31.48,-111.16,13.48,12.9,4.5,21.4
1997,12,AtascosaHighlandsAZ,31.48,-111.16,136.07,6,-0.1,12.1
1998,1,AtascosaHighlandsAZ,31.48,-111.16,4.15,8.6,0.4,16.7
1998,2,AtascosaHighlandsAZ,31.48,-111.16,117.96,7.2,0.6,13.8
1998,3,AtascosaHighlandsAZ,31.48,-111.16,69.32,10.8,3.5,18.2
1998,4,AtascosaHighlandsAZ,31.48,-111.16,7.21,12.4,4.1,20.7
1998,5,AtascosaHighlandsAZ,31.48,-111.16,0,18.7,9.8,27.7
1998,6,AtascosaHighlandsAZ,31.48,-111.16,0,23.4,14.4,32.4
1998,7,AtascosaHighlandsAZ,31.48,-111.16,219.65,25.9,19.3,32.5
1998,8,AtascosaHighlandsAZ,31.48,-111.16,141.38,25.1,18.7,31.5
1998,9,AtascosaHighlandsAZ,31.48,-111.16,55.06,23.9,16.5,31.3
1998,10,AtascosaHighlandsAZ,31.48,-111.16,11.75,18.5,10.1,26.9
1998,11,AtascosaHighlandsAZ,31.48,-111.16,32.2,13,4.2,21.8
1998,12,AtascosaHighlandsAZ,31.48,-111.16,28.44,8.4,0.6,16.2
1999,1,AtascosaHighlandsAZ,31.48,-111.16,0,9.9,1.3,18.5
1999,2,AtascosaHighlandsAZ,31.48,-111.16,0,11.7,2.5,20.9
1999,3,AtascosaHighlandsAZ,31.48,-111.16,6.14,13.2,3.6,22.7
1999,4,AtascosaHighlandsAZ,31.48,-111.16,61.5,13.6,5.2,22
1999,5,AtascosaHighlandsAZ,31.48,-111.16,0,19.5,10.5,28.5
1999,6,AtascosaHighlandsAZ,31.48,-111.16,7.5,23.7,15.1,32.4
1999,7,AtascosaHighlandsAZ,31.48,-111.16,149.44,24.3,17.9,30.6
1999,8,AtascosaHighlandsAZ,31.48,-111.16,150.4,24.3,17.4,31.2
1999,9,AtascosaHighlandsAZ,31.48,-111.16,47.29,23.1,15.5,30.6
1999,10,AtascosaHighlandsAZ,31.48,-111.16,0,19.5,10.4,28.7
1999,11,AtascosaHighlandsAZ,31.48,-111.16,0,15.1,5.4,24.7
1999,12,AtascosaHighlandsAZ,31.48,-111.16,0,8,-0.2,16.3
2000,1,AtascosaHighlandsAZ,31.48,-111.16,2.82,10.7,2.1,19.2
2000,2,AtascosaHighlandsAZ,31.48,-111.16,6.85,11.8,3.3,20.3
2000,3,AtascosaHighlandsAZ,31.48,-111.16,33.52,11.7,2.9,20.5
2000,4,AtascosaHighlandsAZ,31.48,-111.16,0,17.5,8.6,26.5
2000,5,AtascosaHighlandsAZ,31.48,-111.16,0,22.6,13.3,31.9
2000,6,AtascosaHighlandsAZ,31.48,-111.16,77.65,25.2,17.4,33
2000,7,AtascosaHighlandsAZ,31.48,-111.16,39.6,25.8,18.4,33.1
2000,8,AtascosaHighlandsAZ,31.48,-111.16,164.07,24.3,17.3,31.2
2000,9,AtascosaHighlandsAZ,31.48,-111.16,13.31,24.1,16.2,32
2000,10,AtascosaHighlandsAZ,31.48,-111.16,257.21,16.7,10,23.5
2000,11,AtascosaHighlandsAZ,31.48,-111.16,37.33,8.3,1.1,15.5
2000,12,AtascosaHighlandsAZ,31.48,-111.16,3.51,9.9,1.3,18.5
2001,1,AtascosaHighlandsAZ,31.48,-111.16,43.7,6.4,-0.4,13.3
2001,2,AtascosaHighlandsAZ,31.48,-111.16,26.51,8.3,0.6,16
2001,3,AtascosaHighlandsAZ,31.48,-111.16,37.37,11.6,3.3,19.9
2001,4,AtascosaHighlandsAZ,31.48,-111.16,68.03,15.1,6.4,23.9
2001,5,AtascosaHighlandsAZ,31.48,-111.16,7.56,21.3,11.8,30.8
2001,6,AtascosaHighlandsAZ,31.48,-111.16,23.46,25,16.2,33.8
2001,7,AtascosaHighlandsAZ,31.48,-111.16,128.42,24.7,18.1,31.4
2001,8,AtascosaHighlandsAZ,31.48,-111.16,85.07,24.8,17.7,31.9
2001,9,AtascosaHighlandsAZ,31.48,-111.16,37.63,24,16.1,31.9
2001,10,AtascosaHighlandsAZ,31.48,-111.16,20.79,18.9,10.4,27.3
2001,11,AtascosaHighlandsAZ,31.48,-111.16,4.57,13.7,5.8,21.7
2001,12,AtascosaHighlandsAZ,31.48,-111.16,37.9,7.5,-0.4,15.4
2002,1,AtascosaHighlandsAZ,31.48,-111.16,10.27,8.5,0.2,16.8
2002,2,AtascosaHighlandsAZ,31.48,-111.16,5.62,10.1,1.6,18.6
2002,3,AtascosaHighlandsAZ,31.48,-111.16,5.24,11.6,2.2,21
2002,4,AtascosaHighlandsAZ,31.48,-111.16,0,17.9,8.5,27.2
2002,5,AtascosaHighlandsAZ,31.48,-111.16,0,20.2,10.6,29.7
2002,6,AtascosaHighlandsAZ,31.48,-111.16,0,26.7,17.3,36
2002,7,AtascosaHighlandsAZ,31.48,-111.16,97.25,26,18.8,33.2
2002,8,AtascosaHighlandsAZ,31.48,-111.16,95.11,25,17.9,32.1
2002,9,AtascosaHighlandsAZ,31.48,-111.16,46.84,23.6,16.1,31.2
2002,10,AtascosaHighlandsAZ,31.48,-111.16,7.44,17,9.2,24.7
2002,11,AtascosaHighlandsAZ,31.48,-111.16,18.36,13.6,5.5,21.7
2002,12,AtascosaHighlandsAZ,31.48,-111.16,32.81,7.3,0.2,14.3
2003,1,AtascosaHighlandsAZ,31.48,-111.16,5.74,11.4,2.8,20
2003,2,AtascosaHighlandsAZ,31.48,-111.16,71.97,9.6,2.5,16.8
2003,3,AtascosaHighlandsAZ,31.48,-111.16,24.99,11.1,3,19.3
2003,4,AtascosaHighlandsAZ,31.48,-111.16,2.8,14.9,5.7,24.1
2003,5,AtascosaHighlandsAZ,31.48,-111.16,5.62,20.8,11.3,30.3
2003,6,AtascosaHighlandsAZ,31.48,-111.16,0.14,24.9,15.8,34.1
2003,7,AtascosaHighlandsAZ,31.48,-111.16,144.1,27.5,20,35.1
2003,8,AtascosaHighlandsAZ,31.48,-111.16,125.18,25,18.3,31.8
2003,9,AtascosaHighlandsAZ,31.48,-111.16,56.03,23.6,16.2,31
2003,10,AtascosaHighlandsAZ,31.48,-111.16,47.39,20.5,12.9,28
2003,11,AtascosaHighlandsAZ,31.48,-111.16,28.76,12.3,4.9,19.7
2003,12,AtascosaHighlandsAZ,31.48,-111.16,19.18,9.4,1,17.8
2004,1,AtascosaHighlandsAZ,31.48,-111.16,49.66,8.4,1.6,15.2
2004,2,AtascosaHighlandsAZ,31.48,-111.16,19.81,7.6,0.1,15.1
2004,3,AtascosaHighlandsAZ,31.48,-111.16,34.17,15,7.2,22.7
2004,4,AtascosaHighlandsAZ,31.48,-111.16,53.11,15.1,7.2,23
2004,5,AtascosaHighlandsAZ,31.48,-111.16,0,20.7,12,29.4
2004,6,AtascosaHighlandsAZ,31.48,-111.16,2.05,24.6,15.6,33.6
2004,7,AtascosaHighlandsAZ,31.48,-111.16,82.65,25.2,17.7,32.6
2004,8,AtascosaHighlandsAZ,31.48,-111.16,95.21,24.4,17.2,31.5
2004,9,AtascosaHighlandsAZ,31.48,-111.16,38.09,22.8,15,30.6
