Site,year,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,previous_Mseason_precip
AtascosaHighlandsAZ,1980,NA,NA,NA,NA,NA
AtascosaHighlandsAZ,1981,24.42168458781362,12.9,36.2,299.58,NA
AtascosaHighlandsAZ,1982,24.192043010752688,9.7,36.5,230.89,299.58
AtascosaHighlandsAZ,1983,24.654910394265233,13.6,38.7,402.23,230.89
AtascosaHighlandsAZ,1984,23.36347670250896,13,34.6,504.06,402.23
AtascosaHighlandsAZ,1985,23.426164874551972,7.9,37.9,299.17,504.06
AtascosaHighlandsAZ,1986,23.09688172043011,5.9,37.9,335.14,299.17
AtascosaHighlandsAZ,1987,22.971720430107528,8.8,36,370.84999999999997,335.14
AtascosaHighlandsAZ,1988,23.411863799283154,8.1,35.3,338.76,370.84999999999997
AtascosaHighlandsAZ,1989,24.679462365591398,8.9,39.4,159.3,338.76
AtascosaHighlandsAZ,1990,22.75043010752688,10,37,410.36,159.3
AtascosaHighlandsAZ,1991,23.711075268817204,12.4,36.8,189.67000000000002,410.36
AtascosaHighlandsAZ,1992,23.953584229390682,12.4,38.6,294.53999999999996,189.67000000000002
AtascosaHighlandsAZ,1993,23.689964157706093,8.3,36.5,315.77,294.53999999999996
AtascosaHighlandsAZ,1994,25.225089605734766,12.8,37.7,209.53,315.77
AtascosaHighlandsAZ,1995,25.171827956989247,11.2,40.3,245.60999999999999,209.53
AtascosaHighlandsAZ,1996,24.2315770609319,10,36.4,332.31,245.60999999999999
AtascosaHighlandsAZ,1997,25.24304659498208,13.9,38.9,266.39,332.31
AtascosaHighlandsAZ,1998,24.888817204301077,11.1,38.6,406.79,266.39
AtascosaHighlandsAZ,1999,23.91956989247312,12.8,38,343.46999999999997,406.79
AtascosaHighlandsAZ,2000,24.765448028673834,11.6,37.6,217.47,343.46999999999997
AtascosaHighlandsAZ,2001,24.39347670250896,11.7,38.4,249.68,217.47
AtascosaHighlandsAZ,2002,24.86763440860215,12.6,37.7,236.14,249.68
AtascosaHighlandsAZ,2003,25.432939068100357,12.6,38.7,321.22,236.14
AtascosaHighlandsAZ,2004,24.047347670250897,6.9,35.9,215.35,321.22
AtascosaHighlandsAZ,2005,24.736129032258063,9.8,38.8,240.1,215.35
AtascosaHighlandsAZ,2006,23.56225806451613,9.9,37.4,360.72,240.1
AtascosaHighlandsAZ,2007,24.51605734767025,10.3,39,321.32,360.72
AtascosaHighlandsAZ,2008,23.616702508960575,12.3,35.4,394.33000000000004,321.32
AtascosaHighlandsAZ,2009,25.26594982078853,12.8,37.3,230.51999999999998,394.33000000000004
AtascosaHighlandsAZ,2010,25.07584229390681,11.9,36.6,272.63,230.51999999999998
AtascosaHighlandsAZ,2011,25.255913978494625,12.3,38.2,225.1,272.63
AtascosaHighlandsAZ,2012,24.41698924731183,11.6,37.1,293.3,225.1
AtascosaHighlandsAZ,2013,24.386021505376345,8.8,37.6,250.51,293.3
AtascosaHighlandsAZ,2014,24.009892473118278,9.5,36.4,436.44000000000005,250.51
AtascosaHighlandsAZ,2015,24.2968458781362,14,37,347.34,436.44000000000005
AtascosaHighlandsAZ,2016,23.955913978494625,9.6,36.6,363.83,347.34
AtascosaHighlandsAZ,2017,24.12741935483871,6.9,38.6,330.87,363.83
AtascosaHighlandsAZ,2018,24.989068100358423,13.8,38.4,314.14,330.87
AtascosaHighlandsAZ,2019,25.053440860215055,10,37.7,227.97000000000003,314.14
AtascosaHighlandsAZ,2020,26.38125448028674,10.9,39.3,180.63,227.97000000000003
AtascosaHighlandsAZ,2021,24.00114695340502,11.2,36.5,386.23,180.63
BoyceThompsonArboretum,1981,27.881039426523298,14,39.3,130.35999999999999,NA
BoyceThompsonArboretum,1982,26.658279569892475,9.7,38.8,246.8,130.35999999999999
BoyceThompsonArboretum,1983,27.65279569892473,15.6,41.3,268.95,246.8
BoyceThompsonArboretum,1984,26.555913978494623,14.6,38.6,256.54,268.95
BoyceThompsonArboretum,1985,26.69179211469534,11.2,41.3,200.57999999999998,256.54
BoyceThompsonArboretum,1986,25.15164874551971,9.4,40.3,228.02,200.57999999999998
BoyceThompsonArboretum,1987,26.905304659498206,15.6,38.6,151.88,228.02
BoyceThompsonArboretum,1988,27.204014336917563,12.5,38.6,228.41,151.88
BoyceThompsonArboretum,1989,28.000645161290322,14.4,41,96.83,228.41
BoyceThompsonArboretum,1990,26.503512544802867,15.8,39.4,340.24,96.83
BoyceThompsonArboretum,1991,27.20021505376344,16.5,37.8,150.28,340.24
BoyceThompsonArboretum,1992,26.932903225806452,15.1,38,246.87,150.28
BoyceThompsonArboretum,1993,26.698602150537635,12.4,40.2,101.42,246.87
BoyceThompsonArboretum,1994,28.45032258064516,15.4,40,113.88000000000001,101.42
BoyceThompsonArboretum,1995,28.621182795698925,15.1,43.1,135.05,113.88000000000001
BoyceThompsonArboretum,1996,26.974551971326164,13.1,39.3,222.79,135.05
BoyceThompsonArboretum,1997,28.177849462365593,17.9,38.9,72.81,222.79
BoyceThompsonArboretum,1998,28.12584229390681,15.3,42.5,171.56,72.81
BoyceThompsonArboretum,1999,27.096559139784947,17.3,38.6,268.12,171.56
BoyceThompsonArboretum,2000,28.63154121863799,15,39.7,31.229999999999997,268.12
BoyceThompsonArboretum,2001,28.018028673835126,17.7,40.5,161.24,31.229999999999997
BoyceThompsonArboretum,2002,28.47931899641577,15.6,39.1,64.78999999999999,161.24
BoyceThompsonArboretum,2003,28.769856630824375,17.8,41,132.02,64.78999999999999
BoyceThompsonArboretum,2004,27.04989247311828,10.7,38.9,123.73,132.02
BoyceThompsonArboretum,2005,28.202401433691755,15.2,41.1,136.27,123.73
BoyceThompsonArboretum,2006,26.747311827956988,14.2,42,185.42,136.27
BoyceThompsonArboretum,2007,28.312186379928317,13.3,41.4,125.97999999999999,185.42
BoyceThompsonArboretum,2008,27.128028673835125,16.5,39.5,247.52999999999997,125.97999999999999
BoyceThompsonArboretum,2009,28.341827956989246,15.7,39.9,88.32000000000001,247.52999999999997
BoyceThompsonArboretum,2010,28.0978853046595,15.3,40.1,215.69,88.32000000000001
BoyceThompsonArboretum,2011,28.454910394265234,16.6,40.3,187.63,215.69
BoyceThompsonArboretum,2012,27.525663082437276,14.9,40.3,112.56,187.63
