Site,year,Wseason_precip,Wseason_tmean,Wseason_tmax,Wseason_tmin
AtascosaHighlandsAZ,1981,167.13,11.77183371735791,29.5,-3.9
AtascosaHighlandsAZ,1982,173.4,12.39126837831907,29.5,-4.5
AtascosaHighlandsAZ,1983,417.51,11.106858678955453,30.7,-5.2
AtascosaHighlandsAZ,1984,282,12.017566608400868,30.3,-3.6
AtascosaHighlandsAZ,1985,344.98,10.776048935703313,29.4,-8.7
AtascosaHighlandsAZ,1986,255.64,12.465500329163923,30,-4.5
AtascosaHighlandsAZ,1987,189.69,11.363879745446566,30.6,-8.6
AtascosaHighlandsAZ,1988,229.41,11.732856083478998,32.6,-8.8
AtascosaHighlandsAZ,1989,193.62,12.78411784068466,34.8,-9.3
AtascosaHighlandsAZ,1990,224.18,11.821948650427913,32.2,-8.2
AtascosaHighlandsAZ,1991,293.42,11.399838709677418,29.4,-9.8
AtascosaHighlandsAZ,1992,308.33,11.755848297049631,32.7,-4.9
AtascosaHighlandsAZ,1993,425.95,11.669799210006584,31.4,-5.4
AtascosaHighlandsAZ,1994,223.56,11.89130348913759,31.5,-4.6
AtascosaHighlandsAZ,1995,423.59000000000003,11.706620583717358,30.9,-5
AtascosaHighlandsAZ,1996,114.26,13.461917474442503,33.3,-4.5
AtascosaHighlandsAZ,1997,185.7,12.059998902786921,33.8,-7.1
AtascosaHighlandsAZ,1998,347.54,10.752105551898179,33.1,-5.1
AtascosaHighlandsAZ,1999,133.01999999999998,12.383842440201887,33.5,-5.6
AtascosaHighlandsAZ,2000,42.52,13.389447004608295,33.8,-5.2
AtascosaHighlandsAZ,2001,461.91,10.90229207812157,34.2,-5.5
AtascosaHighlandsAZ,2002,85.48,12.501225587008998,31.7,-8.6
AtascosaHighlandsAZ,2003,156.68,12.034291200351108,30.3,-4.9
AtascosaHighlandsAZ,2004,238.73,12.56789130780232,34.4,-7.7
AtascosaHighlandsAZ,2005,230.33,11.588443054641212,32.1,-6.5
AtascosaHighlandsAZ,2006,63.79,12.975732938336625,32.9,-4.6
AtascosaHighlandsAZ,2007,101.2,12.140786701777484,32.7,-9.6
AtascosaHighlandsAZ,2008,191.66,12.484665501350706,31.2,-7.1
AtascosaHighlandsAZ,2009,102.22,13.092671713846828,32.1,-6.8
AtascosaHighlandsAZ,2010,245.97,11.651701777485188,32.7,-4.6
AtascosaHighlandsAZ,2011,109.47999999999999,12.421344086021506,34,-12.4
AtascosaHighlandsAZ,2012,144.29000000000002,12.205936755124743,34.6,-7
AtascosaHighlandsAZ,2013,97.8,12.37022492868115,32.8,-10.8
AtascosaHighlandsAZ,2014,119.35,13.096143296028089,30.8,-4.2
AtascosaHighlandsAZ,2015,187.57,13.222456660083388,30.5,-6.7
AtascosaHighlandsAZ,2016,151.25,12.552278722389957,33.4,-6.7
AtascosaHighlandsAZ,2017,125.16,13.68508119376783,32.2,-5
AtascosaHighlandsAZ,2018,97.57,14.398396971691902,33.4,-5.1
AtascosaHighlandsAZ,2019,314.83000000000004,11.665544217687074,31.8,-6.6
AtascosaHighlandsAZ,2020,255.35,12.263151649981461,34.5,-7.3
AtascosaHighlandsAZ,2021,79.26,12.849564406407724,35.4,-4.2
