"","Site_Number","Site","Year","Month","Day","Season_Sampled","Response_Value","Response","Predictor_Value","Predictor"
"1",1,"Cottonwood",2017,9,4,"Fall",361,"Abundance",185.7,"Monsoon"
"2",1,"Cottonwood",2017,9,4,"Fall",361,"Abundance",38.7,"Tmax"
"3",1,"Cottonwood",2017,9,4,"Fall",361,"Abundance",12.5,"Tmin"
"4",1,"Cottonwood",2017,9,4,"Fall",361,"Abundance",244.59,"Winter"
"5",1,"Cottonwood",2017,9,4,"Fall",39,"Richness",185.7,"Monsoon"
"6",1,"Cottonwood",2017,9,4,"Fall",39,"Richness",38.7,"Tmax"
"7",1,"Cottonwood",2017,9,4,"Fall",39,"Richness",12.5,"Tmin"
"8",1,"Cottonwood",2017,9,4,"Fall",39,"Richness",244.59,"Winter"
"9",1,"Cottonwood",2018,8,30,"Fall",104,"Abundance",169.24,"Monsoon"
"10",1,"Cottonwood",2018,8,30,"Fall",104,"Abundance",41,"Tmax"
"11",1,"Cottonwood",2018,8,30,"Fall",104,"Abundance",14,"Tmin"
"12",1,"Cottonwood",2018,8,30,"Fall",104,"Abundance",39.64,"Winter"
"13",1,"Cottonwood",2018,8,30,"Fall",20,"Richness",169.24,"Monsoon"
"14",1,"Cottonwood",2018,8,30,"Fall",20,"Richness",41,"Tmax"
"15",1,"Cottonwood",2018,8,30,"Fall",20,"Richness",14,"Tmin"
"16",1,"Cottonwood",2018,8,30,"Fall",20,"Richness",39.64,"Winter"
"17",1,"Cottonwood",2019,8,29,"Fall",178,"Abundance",102.37,"Monsoon"
"18",1,"Cottonwood",2019,8,29,"Fall",178,"Abundance",40.9,"Tmax"
"19",1,"Cottonwood",2019,8,29,"Fall",178,"Abundance",16.1,"Tmin"
"20",1,"Cottonwood",2019,8,29,"Fall",178,"Abundance",240.25,"Winter"
"21",1,"Cottonwood",2019,8,29,"Fall",36,"Richness",102.37,"Monsoon"
"22",1,"Cottonwood",2019,8,29,"Fall",36,"Richness",40.9,"Tmax"
"23",1,"Cottonwood",2019,8,29,"Fall",36,"Richness",16.1,"Tmin"
"24",1,"Cottonwood",2019,8,29,"Fall",36,"Richness",240.25,"Winter"
"25",1,"Cottonwood",2020,8,26,"Fall",166,"Abundance",29.39,"Monsoon"
"26",1,"Cottonwood",2020,8,26,"Fall",166,"Abundance",44.5,"Tmax"
"27",1,"Cottonwood",2020,8,26,"Fall",166,"Abundance",15.6,"Tmin"
"28",1,"Cottonwood",2020,8,26,"Fall",166,"Abundance",273.16,"Winter"
"29",1,"Cottonwood",2020,8,26,"Fall",26,"Richness",29.39,"Monsoon"
"30",1,"Cottonwood",2020,8,26,"Fall",26,"Richness",44.5,"Tmax"
"31",1,"Cottonwood",2020,8,26,"Fall",26,"Richness",15.6,"Tmin"
"32",1,"Cottonwood",2020,8,26,"Fall",26,"Richness",273.16,"Winter"
"33",1,"Cottonwood",2021,8,26,"Fall",616,"Abundance",216.68,"Monsoon"
"34",1,"Cottonwood",2021,8,26,"Fall",616,"Abundance",40.5,"Tmax"
"35",1,"Cottonwood",2021,8,26,"Fall",616,"Abundance",15.2,"Tmin"
"36",1,"Cottonwood",2021,8,26,"Fall",616,"Abundance",75.67,"Winter"
"37",1,"Cottonwood",2021,8,26,"Fall",34,"Richness",216.68,"Monsoon"
"38",1,"Cottonwood",2021,8,26,"Fall",34,"Richness",40.5,"Tmax"
"39",1,"Cottonwood",2021,8,26,"Fall",34,"Richness",15.2,"Tmin"
"40",1,"Cottonwood",2021,8,26,"Fall",34,"Richness",75.67,"Winter"
"705",2,"McDowellSonoranPreserve",2014,9,20,"Fall",247,"Abundance",227.12,"Monsoon"
"706",2,"McDowellSonoranPreserve",2014,9,20,"Fall",247,"Abundance",37.6,"Tmax"
"707",2,"McDowellSonoranPreserve",2014,9,20,"Fall",247,"Abundance",18,"Tmin"
"708",2,"McDowellSonoranPreserve",2014,9,20,"Fall",247,"Abundance",148.73,"Winter"
"709",2,"McDowellSonoranPreserve",2014,9,20,"Fall",32,"Richness",227.12,"Monsoon"
"710",2,"McDowellSonoranPreserve",2014,9,20,"Fall",32,"Richness",37.6,"Tmax"
"711",2,"McDowellSonoranPreserve",2014,9,20,"Fall",32,"Richness",18,"Tmin"
"712",2,"McDowellSonoranPreserve",2014,9,20,"Fall",32,"Richness",148.73,"Winter"
"713",2,"McDowellSonoranPreserve",2015,10,3,"Fall",51,"Abundance",44.36,"Monsoon"
"714",2,"McDowellSonoranPreserve",2015,10,3,"Fall",51,"Abundance",38.2,"Tmax"
"715",2,"McDowellSonoranPreserve",2015,10,3,"Fall",51,"Abundance",19.6,"Tmin"
"716",2,"McDowellSonoranPreserve",2015,10,3,"Fall",51,"Abundance",141.47,"Winter"
"717",2,"McDowellSonoranPreserve",2015,10,3,"Fall",21,"Richness",44.36,"Monsoon"
"718",2,"McDowellSonoranPreserve",2015,10,3,"Fall",21,"Richness",38.2,"Tmax"
"719",2,"McDowellSonoranPreserve",2015,10,3,"Fall",21,"Richness",19.6,"Tmin"
"720",2,"McDowellSonoranPreserve",2015,10,3,"Fall",21,"Richness",141.47,"Winter"
"721",2,"McDowellSonoranPreserve",2016,9,17,"Fall",157,"Abundance",78.96,"Monsoon"
"722",2,"McDowellSonoranPreserve",2016,9,17,"Fall",157,"Abundance",37.4,"Tmax"
"723",2,"McDowellSonoranPreserve",2016,9,17,"Fall",157,"Abundance",19,"Tmin"
"724",2,"McDowellSonoranPreserve",2016,9,17,"Fall",157,"Abundance",136.46,"Winter"
"725",2,"McDowellSonoranPreserve",2016,9,17,"Fall",20,"Richness",78.96,"Monsoon"
"726",2,"McDowellSonoranPreserve",2016,9,17,"Fall",20,"Richness",37.4,"Tmax"
"727",2,"McDowellSonoranPreserve",2016,9,17,"Fall",20,"Richness",19,"Tmin"
"728",2,"McDowellSonoranPreserve",2016,9,17,"Fall",20,"Richness",136.46,"Winter"
"729",2,"McDowellSonoranPreserve",2017,4,8,"Spring",168,"Abundance",58.19,"Monsoon"
"730",2,"McDowellSonoranPreserve",2017,4,8,"Spring",168,"Abundance",31.7,"Tmax"
"731",2,"McDowellSonoranPreserve",2017,4,8,"Spring",168,"Abundance",9,"Tmin"
"732",2,"McDowellSonoranPreserve",2017,4,8,"Spring",168,"Abundance",238.72,"Winter"
"733",2,"McDowellSonoranPreserve",2017,4,8,"Spring",30,"Richness",58.19,"Monsoon"
"734",2,"McDowellSonoranPreserve",2017,4,8,"Spring",30,"Richness",31.7,"Tmax"
"735",2,"McDowellSonoranPreserve",2017,4,8,"Spring",30,"Richness",9,"Tmin"
"736",2,"McDowellSonoranPreserve",2017,4,8,"Spring",30,"Richness",238.72,"Winter"
"737",2,"McDowellSonoranPreserve",2017,9,23,"Fall",65,"Abundance",58.19,"Monsoon"
"738",2,"McDowellSonoranPreserve",2017,9,23,"Fall",65,"Abundance",40.1,"Tmax"
"739",2,"McDowellSonoranPreserve",2017,9,23,"Fall",65,"Abundance",16.6,"Tmin"
"740",2,"McDowellSonoranPreserve",2017,9,23,"Fall",65,"Abundance",238.72,"Winter"
"741",2,"McDowellSonoranPreserve",2017,9,23,"Fall",13,"Richness",58.19,"Monsoon"
