"","Site_Number","Site","Year","Month","Day","Season_Sampled","Response_Value","Response"
"34",1,"Cottonwood",2017,9,4,"Fall",361,"Abundance"
"236",1,"Cottonwood",2017,9,4,"Fall",39,"Richness"
"35",1,"Cottonwood",2018,8,30,"Fall",104,"Abundance"
"237",1,"Cottonwood",2018,8,30,"Fall",20,"Richness"
"36",1,"Cottonwood",2019,8,29,"Fall",178,"Abundance"
"238",1,"Cottonwood",2019,8,29,"Fall",36,"Richness"
"37",1,"Cottonwood",2020,8,26,"Fall",166,"Abundance"
"239",1,"Cottonwood",2020,8,26,"Fall",26,"Richness"
"38",1,"Cottonwood",2021,8,26,"Fall",616,"Abundance"
"240",1,"Cottonwood",2021,8,26,"Fall",34,"Richness"
"45",2,"McDowellSonoranPreserve",2014,9,20,"Fall",247,"Abundance"
"247",2,"McDowellSonoranPreserve",2014,9,20,"Fall",32,"Richness"
"46",2,"McDowellSonoranPreserve",2015,10,3,"Fall",51,"Abundance"
"248",2,"McDowellSonoranPreserve",2015,10,3,"Fall",21,"Richness"
"47",2,"McDowellSonoranPreserve",2016,9,17,"Fall",157,"Abundance"
"249",2,"McDowellSonoranPreserve",2016,9,17,"Fall",20,"Richness"
"48",2,"McDowellSonoranPreserve",2017,4,8,"Spring",168,"Abundance"
"250",2,"McDowellSonoranPreserve",2017,4,8,"Spring",30,"Richness"
"49",2,"McDowellSonoranPreserve",2017,9,23,"Fall",65,"Abundance"
"251",2,"McDowellSonoranPreserve",2017,9,23,"Fall",13,"Richness"
"50",2,"McDowellSonoranPreserve",2018,4,7,"Spring",30,"Abundance"
"252",2,"McDowellSonoranPreserve",2018,4,7,"Spring",8,"Richness"
"51",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance"
"52",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance"
"53",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance"
"54",2,"McDowellSonoranPreserve",2018,9,29,"Fall",1568,"Abundance"
"253",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness"
"254",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness"
"255",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness"
"256",2,"McDowellSonoranPreserve",2018,9,29,"Fall",26,"Richness"
"55",2,"McDowellSonoranPreserve",2019,4,6,"Spring",583,"Abundance"
"257",2,"McDowellSonoranPreserve",2019,4,6,"Spring",34,"Richness"
"56",2,"McDowellSonoranPreserve",2019,9,28,"Fall",47,"Abundance"
"258",2,"McDowellSonoranPreserve",2019,9,28,"Fall",18,"Richness"
"57",2,"McDowellSonoranPreserve",2020,4,4,"Spring",146,"Abundance"
"259",2,"McDowellSonoranPreserve",2020,4,4,"Spring",22,"Richness"
"58",2,"McDowellSonoranPreserve",2020,9,26,"Fall",6,"Abundance"
"260",2,"McDowellSonoranPreserve",2020,9,26,"Fall",4,"Richness"
"59",2,"McDowellSonoranPreserve",2021,4,3,"Spring",62,"Abundance"
"261",2,"McDowellSonoranPreserve",2021,4,3,"Spring",11,"Richness"
"60",2,"McDowellSonoranPreserve",2021,9,25,"Fall",9607,"Abundance"
"262",2,"McDowellSonoranPreserve",2021,9,25,"Fall",40,"Richness"
"39",3,"GrandCanyonDesertView",2015,5,31,"Spring",122,"Abundance"
"241",3,"GrandCanyonDesertView",2015,5,31,"Spring",30,"Richness"
"42",4,"GrandCanyonSouthRim",2014,9,6,"Fall",141,"Abundance"
"244",4,"GrandCanyonSouthRim",2014,9,6,"Fall",18,"Richness"
"43",4,"GrandCanyonSouthRim",2015,6,14,"Spring",123,"Abundance"
"245",4,"GrandCanyonSouthRim",2015,6,14,"Spring",24,"Richness"
"44",4,"GrandCanyonSouthRim",2015,8,16,"Fall",228,"Abundance"
"246",4,"GrandCanyonSouthRim",2015,8,16,"Fall",22,"Richness"
"200",5,"SycamoreCreekAZ",1999,7,23,"Fall",195,"Abundance"
"402",5,"SycamoreCreekAZ",1999,7,23,"Fall",14,"Richness"
"201",5,"SycamoreCreekAZ",2000,7,22,"Fall",58,"Abundance"
"403",5,"SycamoreCreekAZ",2000,7,22,"Fall",5,"Richness"
"202",5,"SycamoreCreekAZ",2004,7,28,"Fall",131,"Abundance"
"404",5,"SycamoreCreekAZ",2004,7,28,"Fall",17,"Richness"
"61",6,"PatagoniaAZ",1986,8,23,"Fall",4447,"Abundance"
"263",6,"PatagoniaAZ",1986,8,23,"Fall",77,"Richness"
"62",6,"PatagoniaAZ",1987,8,15,"Fall",1430,"Abundance"
"264",6,"PatagoniaAZ",1987,8,15,"Fall",71,"Richness"
"63",6,"PatagoniaAZ",1988,8,6,"Fall",1836,"Abundance"
"265",6,"PatagoniaAZ",1988,8,6,"Fall",75,"Richness"
"64",6,"PatagoniaAZ",1989,8,13,"Fall",1728,"Abundance"
"266",6,"PatagoniaAZ",1989,8,13,"Fall",88,"Richness"
"65",6,"PatagoniaAZ",1990,8,11,"Fall",3066,"Abundance"
"267",6,"PatagoniaAZ",1990,8,11,"Fall",80,"Richness"
"66",6,"PatagoniaAZ",1991,8,6,"Fall",3358,"Abundance"
"268",6,"PatagoniaAZ",1991,8,6,"Fall",92,"Richness"
"67",6,"PatagoniaAZ",1992,8,9,"Fall",4222,"Abundance"
"269",6,"PatagoniaAZ",1992,8,9,"Fall",101,"Richness"
"68",6,"PatagoniaAZ",1993,8,7,"Fall",3209,"Abundance"
"270",6,"PatagoniaAZ",1993,8,7,"Fall",97,"Richness"
"69",6,"PatagoniaAZ",1994,8,6,"Fall",2636,"Abundance"
