Site_Number,Site,Year,Month,Day,Season_Sampled
1,AtascosaHighlandsAZ,1983,7,30,Fall
1,AtascosaHighlandsAZ,1984,8,5,Fall
1,AtascosaHighlandsAZ,1985,8,17,Fall
1,AtascosaHighlandsAZ,1986,8,30,Fall
1,AtascosaHighlandsAZ,1987,8,22,Fall
1,AtascosaHighlandsAZ,1988,8,13,Fall
1,AtascosaHighlandsAZ,1989,8,20,Fall
1,AtascosaHighlandsAZ,1990,8,18,Fall
1,AtascosaHighlandsAZ,1991,8,10,Fall
1,AtascosaHighlandsAZ,1992,8,16,Fall
1,AtascosaHighlandsAZ,1993,8,14,Fall
1,AtascosaHighlandsAZ,1994,8,13,Fall
1,AtascosaHighlandsAZ,1995,8,20,Fall
1,AtascosaHighlandsAZ,1996,8,18,Fall
1,AtascosaHighlandsAZ,1997,8,16,Fall
1,AtascosaHighlandsAZ,1998,8,15,Fall
1,AtascosaHighlandsAZ,1999,8,14,Fall
1,AtascosaHighlandsAZ,2000,8,19,Fall
1,AtascosaHighlandsAZ,2001,8,18,Fall
2,BoyceThompsonArboretum,2007,8,11,Fall
2,BoyceThompsonArboretum,2009,9,12,Fall
2,BoyceThompsonArboretum,2010,9,11,Fall
2,BoyceThompsonArboretum,2011,9,10,Fall
2,BoyceThompsonArboretum,2012,9,15,Fall
2,BoyceThompsonArboretum,2013,9,7,Fall
2,BoyceThompsonArboretum,2014,9,6,Fall
2,BoyceThompsonArboretum,2015,9,12,Fall
2,BoyceThompsonArboretum,2016,9,10,Fall
2,BoyceThompsonArboretum,2017,9,9,Fall
2,BoyceThompsonArboretum,2018,9,8,Fall
2,BoyceThompsonArboretum,2019,9,7,Fall
2,BoyceThompsonArboretum,2020,9,12,Fall
2,BoyceThompsonArboretum,2021,9,11,Fall
3,Cottonwood,2017,9,4,Fall
3,Cottonwood,2018,8,30,Fall
3,Cottonwood,2019,8,29,Fall
3,Cottonwood,2020,8,26,Fall
3,Cottonwood,2021,8,26,Fall
4,GrandCanyonDesertView,2015,5,31,Spring
5,GrandCanyonNorthRim,2019,7,25,Fall
5,GrandCanyonNorthRim,2021,7,31,Fall
6,GrandCanyonSouthRim,2014,9,6,Fall
6,GrandCanyonSouthRim,2015,8,16,Fall
6,GrandCanyonSouthRim,2015,6,14,Spring
7,McDowellSonoranPreserve,2014,9,20,Fall
7,McDowellSonoranPreserve,2015,10,3,Fall
7,McDowellSonoranPreserve,2016,9,17,Fall
7,McDowellSonoranPreserve,2017,9,23,Fall
7,McDowellSonoranPreserve,2017,4,8,Spring
7,McDowellSonoranPreserve,2018,9,29,Fall
7,McDowellSonoranPreserve,2018,9,29,Fall
7,McDowellSonoranPreserve,2018,4,7,Spring
7,McDowellSonoranPreserve,2019,9,28,Fall
7,McDowellSonoranPreserve,2019,4,6,Spring
7,McDowellSonoranPreserve,2020,9,26,Fall
7,McDowellSonoranPreserve,2020,4,4,Spring
7,McDowellSonoranPreserve,2021,9,25,Fall
7,McDowellSonoranPreserve,2021,4,3,Spring
8,PatagoniaAZ,1986,8,23,Fall
8,PatagoniaAZ,1987,8,15,Fall
8,PatagoniaAZ,1988,8,6,Fall
8,PatagoniaAZ,1989,8,13,Fall
8,PatagoniaAZ,1990,8,11,Fall
8,PatagoniaAZ,1991,8,6,Fall
8,PatagoniaAZ,1992,8,9,Fall
8,PatagoniaAZ,1993,8,7,Fall
8,PatagoniaAZ,1994,8,6,Fall
8,PatagoniaAZ,1995,8,13,Fall
8,PatagoniaAZ,1996,8,11,Fall
8,PatagoniaAZ,1997,8,9,Fall
8,PatagoniaAZ,1998,8,8,Fall
8,PatagoniaAZ,1999,8,9,Fall
8,PatagoniaAZ,2000,8,12,Fall
8,PatagoniaAZ,2001,8,11,Fall
8,PatagoniaAZ,2002,8,10,Fall
8,PatagoniaAZ,2003,8,9,Fall
8,PatagoniaAZ,2004,8,7,Fall
8,PatagoniaAZ,2005,8,6,Fall
8,PatagoniaAZ,2006,8,5,Fall
8,PatagoniaAZ,2007,8,18,Fall
8,PatagoniaAZ,2008,8,9,Fall
8,PatagoniaAZ,2009,8,8,Fall
8,PatagoniaAZ,2010,8,7,Fall
8,PatagoniaAZ,2011,8,6,Fall
8,PatagoniaAZ,2012,8,11,Fall
8,PatagoniaAZ,2013,8,10,Fall
8,PatagoniaAZ,2014,8,9,Fall
8,PatagoniaAZ,2015,8,11,Fall
8,PatagoniaAZ,2016,8,8,Fall
8,PatagoniaAZ,2017,8,7,Fall
8,PatagoniaAZ,2018,8,12,Fall
8,PatagoniaAZ,2019,8,6,Fall
8,PatagoniaAZ,2021,8,9,Fall
9,PortalAZ,1999,8,28,Fall
9,PortalAZ,2000,7,29,Fall
9,PortalAZ,2001,7,28,Fall
9,PortalAZ,2002,7,27,Fall
